,attitude,tweets
70,neutral,But i wanna wear my Concords tomorrow though but i don\u2019t feel like it
71,neutral,Gonna watch Grey\u2019s Anatomy all day today and tomorrow(:
72,neutral,@CoachVac heey do you know anything about UVA\u2019s fallll fest loll they invited me so im going this sat but i really dont know what it is loll
73,neutral,@DustyEf when that sun is high in that Texas sky\u002c I\u2019ll be buckin it to county fair. Amarillo by morning. Amarillo ill be there...
77,neutral,Just noticed Ricky Gervais and Stephen Merchant\u2019s Life\u2019s Too Short started airing on BBC Entertainment. Check it out on Sunday\u002c 20:30.
78,neutral,@dreami9 lol yep looks like it! Was after El Clasico on Sunday. I didn\u2019t like her lol and this doesn\u2019t look serious so I\u2019m cool lol
79,neutral,@azrinparveen @Idruski as usual no. You can Skype with me this Saturday kot. Still in Milan bro.
80,neutral,Back in Stoke on Trent for the 2nd time today!
81,neutral,First Girls Varsity Basketball Game tomorrow at 6:00 pm Then Football Senior night at 7:15 pm  See you there! Go Saints!
82,neutral,#UFC lightweights @Young__Assassin VS @jamievarner set for TUF 16 Finale on the FX December 15 card\u002c prelims on FUEL TV and Facebook. #MMA
83,neutral,@OOOOO_WEEEE slide thru sometime this weekend ill have somethin yu can sip on lol gotta make a ABC run tomorrow anyway
84,neutral,the fact that i still havent decided if im going to wvu tonight or tomorrow night hmmmm
87,neutral,Today In History November 02\u002c 1958 Elvis gave a party at his hotel before going out on maneuvers. He sang and... http://t.co/Za9bLTcE
89,neutral,"""@_Wayward_Son Sam groaned. \""""Don\u2019t /remind/ me...\"""" he murmured. He adjusted himself in his pants and sat up. \""""We leaving then?\"""""""
91,neutral,Coming to Greenville tomorrow for my last few days in Sc\u002c then it\u2019s west coast shawwty
93,neutral,Who\u2019s going to Plymouth town tomorrow?
95,neutral,If you do another season of Big Brother please please please bring Friday night live back!! Everyone wants it back on! @BBAU9 #BBAU
97,neutral,i said it b4 dat gucci been promoting his mixtape 2 drop on 10/17 since august\u002c Gotti just up & tried 2 come out on da same date
99,neutral,My Pain may be the reason for somebody\u2019s laugh. But my laugh must never be the reason for somebody\u2019s pain - Charlie Ch http://t.co/iw1fy2wo
100,neutral,Might do my sport work on the train tomorrow CBB right now
101,neutral,Just watched most of movie\u002cmissed the 1st 20 min.s\u002cbut...I thought Y2J was in it!Looked like him\u002csaid Chris Jericho in credits\u002cbut...nah! (;
103,neutral,At the Monday night football game Cardinals vs Niners with Steve Edlefsen and Matthew Kroon. http://t.co/oWdlksm3
108,neutral,@marinabaysands May I know if there is still a chance to meet Tiger Woods before he leaves Singapore?
113,neutral,Remember this? Santorum: Romney\u002c Obama healthcare mandates one and the same http://t.co/sIoG48TO #TheRealRomney @Lis_Smith @truthteam2012
115,neutral,@REALBROTHER0003 did Romney\u2019s dad march with Dr.King yes or no ?
116,neutral,Last Man Standing Season 2 Premieres November 2nd on ABC with an Election Theme http://t.co/k1SASkif via @themomjen
118,neutral,Uploading my iPod for tht drive back to the O tomorrow
119,neutral,@robdelaney I\u2019ll donate $5 to the homeless guy on 3rd St. if u can talk @realDonaldTrump into letting us judge the next Miss America
124,neutral,@hollyhippo I\u2019m going to blockbuster tomorrow to get Devil Inside if that\u2019s okay??;)
125,neutral,[ESPN] SEC lunch links:  Some linkage for you on a Thursday: Alabama will throw some different thing... http://t.co/qr74InOB #RazorBacks
126,neutral,"""\""""@ESPNStatsInfo: Better QB: Ben Roethlisberger or Eli Manning? You make the call - and watch them face off this Sunday.\"""" Tony Romo."""
127,neutral,Damn only the 2nd day in the NBA season and Tony Parker already hitting game winners #clutch
131,neutral,@justinsacher hey it\u2019s Natalie the intern at CBS 47 Do you mind if I shadow you tomorrow or Monday or whenever it\u2019s convenient for you? :)
132,neutral,"""When I was little my brother Liam asked me \""""is it tomorrow yet?\"""" And I replied \""""no\u002c it\u2019s always today.\"""" #5yearsold #bookofquotes #smartbaby"""
133,neutral,@WilliamShatner You are top billing to Shakespeare in Google but 2nd in Wiki. One\u002c a master of English; the other\u002c from Stratford.#Shatoetry
135,neutral,But some of ya need to calm down\u002c there just snippets! And besides we get to hear them on iTunes on Monday so it\u2019s not really a big deal!
140,neutral,@cocosworld @numolai nor\u2019easter superstorm with snow and low temps according to fox http://t.co/ilhYhhwB  it may change paths by then
141,neutral,But honestly I think Miami may be the Alabama of the NBA.
142,neutral,@TyMo214 Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?
144,neutral,On the Jersey shore\u002c emotion outweighs cost of rebuilding: BAY HEAD\u002c N.J./BOSTON (Reuters) - The people of the Jersey Shore may feel ...
154,neutral,@DJiAM_ it\u2019ll prolly sound like the 1st Pluto which was ................... ok\u002c I wonder if he gone have Kanye on it
155,neutral,I\u2019m going to the Texans game Sunday!
160,neutral,Suarez is 1 YC away from a domestic suspension. If he picks up a YC this Sunday vs Newcastle\u002c then he will miss the clash at SB next w/end.
167,neutral,@Nessaa456 the 6th chapter talks about malcolm x and I think martin luther king\u002c.he kinda contrasts them
169,neutral,@1DticketsUSA online it said One Direction tix for Paris April 29th 2013 go on sale at 10am\u002c what site can you buy tickets!
170,neutral,@jadinexo U going to chalmers tomorrow?
173,neutral,On the Jersey shore\u002c emotion outweighs cost of rebuilding: BAY HEAD\u002c N.J./BOSTON\u002c Nov 2 (Reuters) - The people of... http://t.co/eaPAgwx2
175,neutral,Check out Sir Terry Leahy article in Saturday\u2019s Telegraph Weekend section re why he invested in GCSE Maths resource http://t.co/E9gLzAMC.
180,neutral,@ThomasCritchley hahaaa. well if u wanna take me to brazil i ain\u2019t gonn say no. How about viva brazil tho next Friday night? Bit cheaper XxX
181,neutral,16:46 Steven Pourier\u002c Jr. (OLC) MADE the 1 shot Free Throw. DaSU leads 8 - 6 in the 1st Half. #NAIAMBB
182,neutral,Trent Richardson has the Browns out to a 7-0 lead over the Chargers on Sunday.  http://t.co/Kfva5FQh
183,neutral,"""Gerrard: \""""Every single time they got the ball to their keeper it came in long\"""". Sunday\u2019s long ball stats - Tim Howard (15)\u002c Brad Jones (20)."""
186,neutral,@AllyTuckerKSR @rbramblet Maybe KSRc needs a wrasslin\u2019 recap then. @kysportsradio once mentioned we may have things about The Bachelor
188,neutral,(Times Pic) LSU Coach Les Miles said BCS title game has no bearing on Saturday\u2019s matchup with Alabama http://t.co/e7qDoIyC #LSU
190,neutral,Class early in the mornjng =\ it\u2019s bedtime! But do get to see my Sam tomorrow :)
194,neutral,Can Mike Brown play golf? He may need to hit up the Stanford Women\u2019s  team w Ty Willingham after this start\u002c honestly... #Lakers
196,neutral,Remember the midterm elections? Remember the Wisconsin recall? Just wait for next tuesday.
200,neutral,"""@bmwgirl_ Devil\u2019s in the house of the rising sun. Chicken\u2019s in the bread pan picking out dough\u002c granny does your dog bite\u002c \""""no child\u002c no\"""""""
203,neutral,I\u2019m not sure how Teddy Bridgewater playing in the Orange Bowl will go over in Miami. We may find out.
207,neutral,@CardiffCityFC can you pay on the gate on Saturday at Bolton or not?
208,neutral,China to open cultural centre in Nepal: Kathmandu\u002c Nov 2 (IANS) China is going to open a cultural cen... http://t.co/tYn4QOmg @yahoonews
209,neutral,Why is Jay Cutler good in the 4th qtr and not others? Good question\u002c ESPN. Could be worse\u002c though; he could be Tony Romo.
211,neutral,YouTube improves upload process with optional notifications and new tags editor: Google on Thursday announced th... http://t.co/BtCcHo7A
212,neutral,Ay up @keithmaxmoz You still want me to get you a pair of tickets for the Sunderland match on 2nd Jan (7.45pm ko)?
214,neutral,A lot of work goes into to showing a Movie Under the Stars! Come out tomorrow night at watch Joyful Noise on our... http://t.co/zldSzjI5
221,neutral,Guarantee if I go to maths tomorrow ill spend the whole time talking
223,neutral,@Lydia_Style @candyjacobs ahhh girls if I was not going to Dubai on Wed I would take u ladies !! Hope u can come visit me in land of sand x
224,neutral,@OnlyOne_Tikeya it\u2019s party on nov 11th at da CHALMERS community hall 10$ to get n
226,neutral,@Lon_Genius my part to the al green joint will be done friday...I\u2019ll shoot you an email with the attachment
227,neutral,"""You should come watch \""""The Devil Inside\"""" in the movie room on the 1st floor @Miss_Lady94"""
230,neutral,SIKE/APRIL FOOLS/ NEVER say Never but this is the exception ****Turns on Pretty Little Liars
231,neutral,Watching CBC news in Vancouver\u002c awaiting the WSOP Circuit event tomorrow. What\u2019s on the Canadian network? The US election - what else...? :)
232,neutral,This guy is going in the mail tomorrow addressed to the Georgia Athletic Dept. http://t.co/tgMmQtiq
234,neutral,@AubrieMcg  Rob mentioned it in his Sept 24th email to CES members.
235,neutral,@VictoriaBiebs So we probably wont hang that long okay? I wanna see you before you leave China. :D Oh are you going tomorrow?
236,neutral,Tim Tebow steps out with girlfriend Camilla Belle in Florida (sun-sentinel): Share With Friends:  |  | Top News ... http://t.co/M9Sap8E3
238,neutral,@pkerns603 one time i sat next to rick santorum and i swear i was polite the whole time
239,neutral,[ESPN] SEC lunch links:  Some linkage for you on a Thursday: Alabama will throw some different things ... http://t.co/N8HFRZtk #Bulldogs
240,neutral,@ProfessorEddyWV The bookstore is packed with students buying warm WVU gear for the game this Saturday!  #215section1
241,neutral,Tomorrow: LAX->Phoenix->Dallas->Houston. Long day of flying.
242,neutral,I just have to remember to go online tomorrow and watch Grey\u2019s Anatomy \u002c Scandal \u002c &\u2019 Vampire Diaries .
244,neutral,@chriscolfer can you make an appearance at sbl in january i mean i know u live in california but i promise not to fall this time
245,neutral,Not 1st time we\u2019ve had shocker at Anfield on Halloween.We can all see what needs to be done.Carry on Brendon\u002c you\u2019ve got my backing #lfc
246,neutral,Kirk\u2019s Bike Shop: Support the businesses you love and Shop Small this November 24th. http://t.co/SFMNKNi6
249,neutral,In our busy lives in Dubai could we just spare a moment of silence this Friday morning for the people who still wear crocs.
250,neutral,"""Thought For The Day!!! \""""My Pain may be the Reasons for Somebody\u2019s Laugh....but My Laugh must NEVER be the Reasons for Somebody\u2019s Pain!\"""""""
251,neutral,@thisdog I support Johnson\u002c liked he and Huntsman in the primary. Living in the 1st district made my decision easier #mepolitics
253,neutral,"""@LulJess Tomorrow night \""""Upstate\"""" Anderson\u002cSC Models & Bottles plus $100 cash to the sexiest lady in BLACK http://t.co/Vb1r11MO"""
255,neutral,@JustinLueck I\u2019ll try to take some more pics tomorrow\u002c I lost mi phone during the service and all I got right now is that pic I sent you
257,neutral,@JahmeneDouglas please please would you consider singing etta James at my wedding in may? We chose the song coz of you <3
260,neutral,"""\""""The last thing Dr. King ever said to me before he went down to Memphis: \u2019Harry\u002c we may be integrating into a burning house.\"""" ~H. Belafonte"""
263,neutral,This Friday we are mixing Tumblr with Twitter\u002c ah well.
264,neutral,@_Cottenballs_  well Geaux Tigers:) and yes it is and then three days after that is.....Nov 6 which means election day! #RomneyRyan!
265,neutral,BREAKING NEWS...........Man utd have placed Howard Webb on the transfer list after new signing Mark Clattenberg makes dream debut on sunday.
266,neutral,@MorbidWhore oh I\u2019ll be 19 in February. Where do you live? I live in Florida. :D
267,neutral,Ricky Gervais - all that money\u002c all the freedom that money brings. Thought he\u2019d spend Sunday Tweeting...
268,neutral,Hope you\u2019re getting up to meet me at our Women\u2019s Health Symposium! 9-3 at the Kentucky Center for African-Am Heritage on 18th & Muhammad Ali
269,neutral,My 1st Fantasy team is the hurt boys. Dwyane Wade\u002c Dwight Howard\u002c John Wall & Derrick Rose.
272,neutral,Hey\u002c all you #SupportLocalTalent folk\u002c tomorrow is the deadline 11:59PM to vote for HMA People\u2019s Choice Awards http://t.co/zNvfWP1c #HamOnt
275,neutral,London copper up for 3rd day and underpinned by China data - SteelGuru http://t.co/X3ph8f8B
276,neutral,@whereisApe who\u2019s your PA? New house is 10 mins away. Off to Dubai on Sat - going to the grand prix too (cheers G\u2019ma)!
281,neutral,#LA The date is approaching fast Los Angeles!!  Be sure to catch the show in Malibu on November 16 th!! Tickets... http://t.co/olsNdSL9
282,neutral,Friday night\u2019s concert with White Collar Side Show! http://t.co/UEulX3da
283,neutral,Saturday night bout to be live.....2 dollar drinks wizards opener with the homie @Jay2Sneaky
284,neutral,@DrewfromJersey @RichCimini could have used him against Hou\u002c  ran ball vs Indy\u002c bad Def against Pats\u002c & he won 1st Miami\u002c  Let it Go lol
288,neutral,@sutterink Why doesn\u2019t FX re-run it on Tuesday instead of competing against election coverage?
289,neutral,As a liberal dude\u002c I would have seriously considered voting for Jon Huntsman.  I may be wrong but he seems like a reasonable guy.
291,neutral,@swishkhan Kevin Hart is on comedy central right now..is it the show from Sunday?
292,neutral,Lakers gonna beat the Clippers tomorrow tho !
296,neutral,I want a Sunday kind of love - Etta James
298,neutral,No school tomorrow = Tumblr the whole night\u002c till i fall asleep p;
299,neutral,@Its_Zac_Andrews The night Matt has a place in Ypsi and we are going to State Saturday
300,neutral,"""@Anfield_Talk been awhile\u002csat back taking stock\u002cthink we missing a \""""fox in the box\"""" has anyone else clocked what Jordan Rhodes is doing? 1/2"""
302,neutral,A panoramic shot taken Saturday at the Devil\u2019s Den Yellow Rock bluff. Mike http://t.co/ya80gHKS
303,neutral,@justinbieber im seeing you November 12 aka in the hood\u002c make me your ollg and I\u2019ll pay you in chicken nuggets
304,neutral,The Bill Michaels Huddle is on the air now Call the show at 855-830-8648 to chime in about the Packers matchup against Arizona on Sunday.
306,neutral,@C_Murder56 yeah she been there for like 3 years n she gettin stationed back in Georgia in June I think
309,neutral,Off to watch el  classico now.... May even rewatch the first 18mins of yesterday #MUFC\u002c NUFC too
311,neutral,@JohnKincade Christian Ponder & Samantha Steele\u002c not Jenn Brown. Steele was hanging out with Les Miles on Tuesday.
312,neutral,China\u2019s SSE Composite Index shows the way\u002c up 1.1% on Fri.  The stock market is a leading indicator.
313,neutral,Chris Jericho\u2019s 9th WWE theme for 30 mins: Break the Walls Down (V5): http://t.co/cQpwLD1j via @youtube
318,neutral,@zminnis4 I better see you at Jason\u2019s on Friday or Saturday
319,neutral,@reeceh87 Ha ha what Howard Webb you cheeky bugger. Were saving him for Saturday lol!
320,neutral,49ers vs. Cardinals: Vernon Davis and Key Players for Both Teams: The Monday night matchup between the San Franc... http://t.co/eV8OU6Z8
322,neutral,Ricky Gervais | Friday Night with Jonathan Ross | 14/11/2003 Part 2 of 2 http://t.co/VQq69pN7 via @youtube
324,neutral,Comedy Central kicks off in Singapore in the early hours of Friday. And who better to lead the charge than Mr Stewart http://t.co/VUF2WH7w
325,neutral,Tomorrow is 12 October 2012. Five years ago on 12 October 2007 the first Wizards Of Waverly Place episode ever premiered on Disney Channel.
327,neutral,Fuck it I haven\u2019t done nothing in like 2 months. Maybe I will see if my mom will watch Aaliyah tomorrow so I can do something
328,neutral,I want to have a dance party sat. Come to Atl after the game. Lets do it!  @lutzenkirchen @Glamie20 @scotty_simp @MalloryMorgan_ @jorrell76
330,neutral,#HarryPotter fact: JK Rowling\u002c Harry Potter and actor Daniel Radcliffe all share the same birthday\u002c July 31.
333,neutral,"""\""""We may have come on different ships\u002c but we\u2019re i the same boat now.\"""" MLK Jr."""
336,neutral,@lewk @ianeditz That used to fly over Bolton on Tuesday afternoons. Think it was Tuesday anyway. Must have been a regular delivery run.
338,neutral,@MasonGinsberg  Trade Gordon to the Mavs for Mayo\u002c Kaman\u002c Jae Crowder & 2014 Mavs 1st rounder. Maybe Cuban will take The Risk!
341,neutral,@2Lexxi4myshirt everything kanye does needs a news crews presence because he\u2019s too black to burn from sun rays
346,neutral,Last game for Jr. High Bearcats/7th grade. On the road at Clarksville\u002c 7th a 5:30\u002c Jr. High at 7
347,neutral,Scouted game tickets for Clippers and Celtics on 27th of December with Dayne. getting ahead of ourselves?nahhhh!
348,neutral,Hear @scottzolak\u2019s exclusive conversation with Tom Brady right now on @985TheSportsHub. Hear the rest on Patriots All Access Friday on WBZ 4
355,neutral,"""Did you catch this? http://t.co/zR1m2TNP Pretty Little Liars\u2019 Marlene King: Toby Isn\u2019t a Double Agent \""""\""""He\u2019s On Team A\""""\"""" - Exclusive"""
357,neutral,Have a say in what we Play!! PICK THE HITS to win Gossip Girl S4 on DVD http://t.co/mCwPN3uI You have until Nov 6th to do the deal.
358,neutral,"""@prabhu84 Wiki says her 3rd marriage\""""RT @MeTalkTruth:hahaha @ShashiTharoor is trying 2 understand love with his 3rd wife as her 2nd husband\"""""""
363,neutral,UNC leads the all-time series against UVA by 58 to 54.  Come November 15th\u002c Fedora and the boys are gonna make it 59.
364,neutral,Did you know that Travis Barroquillo is the 4th Indiana native to participate in the NWCA All-Star Classic. He... http://t.co/mlSpL0ay
365,neutral,Kianta got the 2nd Golden Globe award for being the dumbest/most to serious boy tonight....First place goes to the guy who jumped on the car
368,neutral,@BobsieHill Major lols. Where you get that from? Ricky Gervais? :-P may be up for some BFME later x
369,neutral,Cardinals and Patriots on the tube! Monday night football special large pizza\u002c dozen wings\u002c large domestic pitcher $25.99!!!
370,neutral,Who remembers the song Friday by Rebecca Black
375,neutral,Joyful Noise gathers Wednesday nights at 7 PM in the sanctuary. Come and sing with friends!
378,neutral,Norwich City book signing this Saturday with @edcouzenslake and ex-canary friends\u002c before the Stoke game!   http://t.co/pwtLHkZ6
382,neutral,49ersParadise HOP: Alex Smith Named NFC Offensive Player of the Week and More NFC West News [BR]: Thu\u002c 1 Nov 201... http://t.co/Ebff8hs5
385,neutral,but Kevin Durant did become the 2nd youngest player in NBA history to reach 10\u002c000 point
393,neutral,@RobertBnjmnSays hi there! Tom in Radnor and sat Mutt Strut\u002c the pump chip. Not sure on the bacon.  I just threw out bc of the storm.
394,neutral,Free dress day tomorrow\u002c well lsu or Alabama shirt with jeans
395,neutral,Up at 6 today - DJing till 4 o\u2019clock tomorrow morning\u002c up at 8am for a magazine shoot then straight up to Liverpool for the MOBOs - zzzzzzzz
397,neutral,(Times Pic) LSU Coach Les Miles says he may let Jordan Jefferson talk to the team http://t.co/iqLJx5Ay #LSU
400,neutral,To start 2nd quarter action\u002c Lamar Odom checks in for the first time.
401,neutral,@tokyo_sexwhale @jayirichardson LeBlanc was nominated for an Emmy and won a Golden Globe\u002c so that may have something to do with it.
406,neutral,Hint #2:  @closethedoor raced in the first SSCX race in New England.  He was\u002c of course\u002c 5th/6.
407,neutral,Bills\u2019 Williams says Texans forced his hand: As Mario Williams prepares to face his former team for the first time Sunday\u002c the highly...
416,neutral,"""Filmclub back Monday with \""""Source Code\""""\u002c a sci-fi techno-thriller with Jake Gyllenhaal\u002c directed by David Bowie\u2019s son! http://t.co/a5OMXi9m"""
417,neutral,Going to some like it hot in newcastle on Saturday for a dance off @chelsfergo
420,neutral,LBJ out with cramps. Steps on Chalmers. C\u2019s ball. Offensive foul. 100-89\u002c Heat ball. 7:57 left in the 4th.
421,neutral,@Jordan_Taylored I mean the Heat still made it to the championship there 1st year....
422,neutral,I\u2019m talking all types of shit now....cause the Celtics may be 0-1 but the Lakers 0-2 LMAOOOOOOOOO!!!!!!!!!
423,neutral,@trey4tide she said she would but she has to be in miss America pagent in december
425,neutral,@iTz_Sledge Michael wants to the DC game tomorrow
426,neutral,New Plymouth\u2019s run at state ended by West Side high tonight\u002c 21-13. Marsing hosts Salmon tomorrow in 2A q-finals.
427,neutral,@jppalmCBS Georgia in the Sugar Bowl?  What game were you watching Saturday night?
430,neutral,Giving away a trip to Dallas to see Steelers vs. Cowboys on the @961kiss Facebook page\u002c enter before TOMORROW at Noon https://t.co/CRo9LkCb
431,neutral,Don\u002ct Miss it International Stuttering Awareness Day: 22 October was designated International... http://t.co/0o8yY6jD Check out New Post
435,neutral,@AdeleCFC still be in bolton i think :) you free sunday then? X
437,neutral,SO noone told me about Slingbox? I could\u2019ve been watched Sons Of Anarchy AND the Niners game on Monday!
439,neutral,@LFC is there a fanpic being taken at Anfield for the game on Sunday?
443,neutral,@alwaysfetish it sounds similar to you but to them its like Rebecca black singing \u2019Friday\u2019...lol..
445,neutral,"""\""""Man with the Iron Fists\"""" comes out tomorrow and that Indiana movie theater gotta get right and get that movie dawg!"""
448,neutral,Liverpool return to League action on Sunday with an Anfield clash against Newcastle.... http://t.co/kFypvx2F
449,neutral,Watching Laugh At My Pain with @kevinhart4real on this cool Saturday night http://t.co/B39lNODk
451,neutral,#Senate Be Barack Obama for Halloween: In March\u002c after Romney beat Rick Santorum in the Ohio Republica... http://t.co/k0CdmmKc #Politics
452,neutral,Tina Fey and Amy Poehler are going to host the Golden Globes on Jan 13.  *hyperventilates*
457,neutral,WVU\u2019s #QSU meetings will be at their regular time again starting tonight. Meet us at the Mountainlair Laurel Room at 8:00pm every Thursday.
458,neutral,I cant hire the Honey Badger to mow my lawn now...but sounds like he may be better suited to be a weed eater.
459,neutral,"""@RockfordMules I want you to cover \""""Let\u2019s Stay Together\"""" by Al Green on Saturday\u002c just because city pages warranted it."""
460,neutral,A final sign that you\u2019re growing is that you find time to watch 30 Rock on Netflix on Friday at 2pm. #toofar? http://t.co/FoGpTkbV
462,neutral,@Leviman_18 ayeee wear the Jordan\u2019s and a black vneck tomorrow\u002c let\u2019s be twins.
464,neutral,"""#feedmemore \""""@WRESTLEZONEcom: Chris Jericho explains why he thinks Ryback should beat CM Punk on Sunday: http://t.co/snzePrvu\"""""""
471,neutral,A model walks during the 18th annual Salon du Chocolat show in Paris\u002c wearing a dress made entirely out of... http://t.co/h5e4fqXY
472,neutral,Gary Ablett with 110 #dreamteam points at half time... looks like he may have a big game..
474,neutral,@aliwoodward did you play for Exeter 1st team against Swansea yesterday?
476,neutral,@veAguilar_ Eduardo you want to go to MLK tommorrow or thursday
478,neutral,@xLanaInspiritx @yoon_dae_rae @sven0408 or something that ends in a 3 lmfao time to dream about JR! i\u2019m gonna run in the street tomorrow
480,neutral,Just got email about @WallStSouth press conference at 11am on Wednesday at the MLK Jr statue at Marshall Park. #CLT #dnc2012 #DNC
482,neutral,Klas-Jan Huntelaar\u002cDemba Ba\u002cFernando Torress and Fernando Llorente who do you want Liverpool to sign in  January?
484,neutral,@Twel5 I know! We went to dinner and Brett made sure he got his Thursday #Hammersticks chicken fingers though!
487,neutral,ive got 1st unit: BK RoStu Maggette CV31 GMonroe & 2nd unit: Bynum Daye Tay Jerebko Drummond i hope JR watchez the Pistons stickz w/ em sum.
488,neutral,@davidubben The only reason #WVU doesn\u2019t lead this stat is because WVU skips giving up 1st downs and just lets them score...
491,neutral,Let the debate begin: Eli or Big Ben - When the Steelers play the Giants on Sunday\u002c there will be something swirling... http://t.co/wxs2iOn7
494,neutral,**(DM)** ME THE 1ST  THING THAT COMES TO UR HEAD! WHEN U HEAR SOME1 SAY: One Direction\u002c Harry\u002cLouis\u002cZayn\u002cNiall or Liam the boys
497,neutral,Giants\u2019 Scutaro leaves game with hip injury: San Francisco Giants second baseman Marco Scutaro left Monday\u2019s NLC... http://t.co/lTU4FsFu
498,neutral,@francesca90 What time are you going to be back in the \u2019hood\u2019 on Thurs? And also did you purchase Justified?
499,neutral,Its monday! That means...back to work\u002c movie premiers\u002c Hustle and Flow Mondays\u002c DJ Table with Afrojack tonight at... http://t.co/igt8w4BT
508,neutral,Miss America visits Wichita Wednesday: The current Miss America was in Wichita Wednesday to talk about her passi... http://t.co/uTy3JBMc
509,neutral,#F2S Saints Trip Moved - Everton\u2019s January trip to Southampton has been resheduled after it was selected for live te... http://t.co/lHWN7AMb
512,neutral,#NUFC\u2019s last league win at Anfield was actually my first visit there\u002c in 94.An emotional day with the 5th Anv. of H\u2019boro #LFC
513,neutral,@OhHillYea can we just skip our 3rd blocks tomorrow and go to sc and play please?!
514,neutral,@espn #SportsHalloweenCostume What about Tony Romo on sunday\u2019s game against the Giants?!
517,neutral,Heather to the rescue! Just agreed to do 4Sight at Oldham tomorrow :-) #4networking #oldham
518,neutral,@hamiltontim88 NLC inservice days on the Monday and Tuesday Chris...another 2 days where teachers aren\u2019t even doing a half days work :-))
519,neutral,Is that live or the 2nd half of the orange bowl? #daboswinneyproblems MT @davidpollack47: a late arriving crowd.   http://t.co/MIPUMtMZ
520,neutral,Remind me to watch 30 Rock online on Friday... Ryan Lochte is going to be on it ;)
522,neutral,Got to show my rubbishy physics presentation tomorrow :/  The only good bit is Daniel Radcliffe singing the elements song ;)
523,neutral,If A&M goes 9-3 and Texas goes 9-3\u002c they actually might meet up in the cotton bowl in January
524,neutral,Going to the Wizards me tomorrow!!!!!! Sice!!!!!
526,neutral,I\u2019m delighted that Tina Fey and Amy Poehler are hosting the Golden Globes. How am I supposed to wait until January 13? #wantthistohappennow
527,neutral,@hoopcoachkp Yes and by big points. Similar to the cotton bowl last Saturday.
528,neutral,I don\u2019t have a jersey to wear tomorrow so I think I\u2019m a just wear a Mavs shirt. Lol
