,attitude,tweets
149,negative,Sunderland have some shit fans! They all were going home with 10 mins of the game left. Demba Ba still 2nd top scorer #lalas #smb
153,negative,@tessgrosvenor27 the Fiesta Bowl. And I was surprised to see they were ranked 6th in the polls. Cuse don\u2019t get alot of love in football land
159,negative,We all know that Ike Taylor got the 3rd Top Player of the game for his SWAGGIN\u2019 prowess only. #SNF
161,negative,Two-thirds of the NCAA football season are completed. The race for the BCS title game is heading to a huge controversy. http://t.co/KStEPiWn
164,negative,Sitting at home on a Saturday night doing absolutely nothing... Guess I\u2019ll just watch Greys Anatomy all night. #lonerproblems #greysanatomy
165,negative,Cardinals try to pick up the pieces against Packers: Embarrassed on Monday night\u002c the Arizona Cardinals are left... http://t.co/ruHfUKuf
168,negative,5) Don\u2019t mention the score: \u2019Do we want revenge? No.\u2019 - Wenger ahead of the United game on saturday http://t.co/eJLWnaNa
176,negative,@KERfortheWIN Plagiarism. Sopa\u2019s gonna get you on october 3.
187,negative,Life just isn\u2019t the same when there is no Pretty Little Liars on Tuesday nights.
189,negative,"""\""""@rwh4vt: We look like UVA. There I said it.\"""" So sad but so very true.. November 24th is going to be a circus"""
192,negative,"""\""""@RayWJ: \""""Despite what you may have heard\u002c I actually do give a shit.\"""" --Honey Badger\u002c in an interview with Piers Morgan\""""  @dogorman10"""
197,negative,Just been informed my police hat from Saturday has made a home in Chalmers and no doubt has made a home with some skank sob
201,negative,i hate how MLK Jr got caught apewalkin at the Selma March (reason why white people call us monkeys)
202,negative,Napoleon Dynamite may be the most awkward person ever
216,negative,Contraband was prolly the worst below average movie I ever sat and finished watching in my life
219,negative,@JonathaMingo In other related news\u002c you know there\u2019s no Parks tomorrow?
220,negative,Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday\u002c with investors waiting ... http://t.co/hbL19o43
225,negative,HOLY SHIT. I just realized that I missed Pretty Little Liars on Tuesday. :/
228,negative,But tonight when I went to see Madonna at the Scottrade when I walked in I started crying because I thought about last Saturday.
229,negative,Are the Canes the biggest losers in the Marlins Park deal? Losing the Orange Bowl = Not good for their program. Bad look at Sun Life.
256,negative,An alarm on my phone still goes off every Thursday for a Jon Huntsman For President National Finance Team Call. Probably time to delete it.
261,negative,"""Me: \""""Hey mom. Danielle gets her license tomorrow... You know what car she drives. A Range Rover\u002c pretty cool huh?\"""" Mom: \""""No. Fuck off Sam.\"""""""
262,negative,People\u2019s Choice Awards site is sooooo slow\u002c c\u2019mon I want to vote
271,negative,"""Homework catch up day and then dinner with the \""""Big Brother\"""" before the hurricane. I kinda need school not to happen on Monday"""
273,negative,New header of Lana Del Rey *__* her face is getting blocked though\u002c I may change it later..
274,negative,Hating Breitbart out tomorrow in Wisconsin - Oshkosh\u002c Appleton\u002c Ashwaubenon\u002c and Brookfield. Check it out\u002c guys! #conservative
278,negative,I bet you won\u2019t power clean Mettenbergers unconscious body after you sack him Saturday! Roll Tide @vsunseri3
279,negative,"""Did he really just say \"""" You think on 3rd & 23 they would play it safe and kick it\"""". Im Roll Tide all day but that shit was harsh."""
285,negative,Madonna is in concert tonight in St. Louis.  All the women are dressing like 80s whores.  Some of them may even go to the concert.
287,negative,"""I googled \""""coffee & its immediate response\u002c mechanisms\"""" the first page that appeared \""""September 11 attacks\u002c Wiki\"""".. I dont see the link here"""
293,negative,So heartbreaking that the @NHL is actually gonna cancel the Winter Classic tomorrow\u002c must be brutal trying to divvy up $3.3 BILLION! FUCK!!
297,negative,I gave $2200 to the Santorum campaign. Put me in debt. Romney gets my vote anyway  though. 3rd party people just don\u2019t get how bad BHO is.
305,negative,Monday Night Raw is on on Monday nights from 7pm-10pm. The 3rd season of Teen Mom 2 is on a new night. Mondays. At 9pm. Oh the dilemma......
314,negative,got the 2nd season of Downton Abbey from the library...so ashamed about the girly side of me coming out\u002c had to schedule a new tattoo
321,negative,One. More. Source. C\u2019mon google\u002c just one more #PLEAAASSEEEEE
326,negative,Day 1 of #SunTran riding = 50%. FAIL. I don\u2019t know where 110X picks up in downtown Tucson\u002c but it sure ain\u2019t 6th & Congress! Calling a ride.
329,negative,So it\u2019s official Monday is my first day. No more Matt for a long while.. Except on Tuesday\u2019s or Wednesdays:)
335,negative,Thursday night line uppppp Henny + coke & Chipotle\u002c Vampire Diaries\u002c Greys Anatomy\u002c Scandal!  fuckkkkk with me sonnn
337,negative,@Real_Liam_Payne Ive got a Maths exam tomorrow. Can you wish me a luck? No? Okay thanks. I wont pass this exam.4
343,negative,If you don\u2019t pipe down I\u2019m gonna injure Tim Howard so you have to watch Jan Mucha all year !! #InsultSomeoneLikeTysonFury
344,negative,@Ray_Esa @Don_Tony Heat didn\u2019t start the season like that in their 1st year. LA lost to MAVS with no Dirk! Pathetic!
350,negative,Stats are stats\u002c & records can be broke.. but crunch time 4th quarter\u002c Jordan had niggaz SCARED to D up... Bron\u002cKD & Kobe can\u2019t say the same
354,negative,TV fundraiser 4 Sandy Friday night. During Katrina telethon Kanye said Bush was killing black people...doubt we\u2019ll hear opposite about Obama
360,negative,my iTunes is playing sun is shining by bob marley\u002c my ears can\u2019t trick me\u002c it\u2019s BLOODY freezing. hat\u002c scarf AND gloves today kids!
366,negative,Going to sunderland vs villa on saturday.. Dont hold the highest hopes for a good match
367,negative,Matt Flynn May Never Play Quarterback for the Seattle Seahawks - Bleacher Report: Bleacher Report... http://t.co/8HuFaY8L #seahawks #nfl
376,negative,@Amanda_Holden how sad are you that Downton Abbey ends Sunday? :(x
377,negative,@thereisnoBattle 1st using the Pacers...never even practiced with em.
379,negative,Man just watched the Lakers highlight from yesterday and there going to get destroyed tomorrow
388,negative,Willis McGahee had a pretty gruesome knee injury in the Fiesta Bowl... Bills still drafted him late in 1st round.
389,negative,I have to go out drinking on a Wednesday so i cant watch the Bachelor until the next day #firstworldpains #brockuproblems
391,negative,Can\u2019t believe Parks isn\u2019t on tomorrow because of the Voice. Newsflash NBC: New Yorkers actually don\u2019t care that they missed the Voice.
392,negative,@Ethan_Hammer may have been distracted by FIFA and El Classico\u002c back to the summary for myself! You finished?
398,negative,I don\u2019t think Dwight Howard is gonna last in LA. He\u2019s already frustrated and it\u2019s 2nd game... Uh oh
399,negative,The Philippines has just passed a law worse than SOPA. http://t.co/GQdlCRvb
408,negative,@MariahRoseFaith it won\u2019t work for me because iPod but whatever I\u2019m honestly way too tired to care I\u2019ll find it on tumblr tomorrow
409,negative,@OldMaryJade you might not wanna come to anatomy tomorrow\u002c we have a test lol
410,negative,So KG gets a fouls called for not touching Chalmers ..... incredible that boi better be the 1st victim of many more fines to come #stopit
413,negative,"""SOPA Is Back!  As a Ransomware Virus: \""""After historic Internet protests in January the SOPA anti-piracy... http://t.co/05si8Pc2 #infosec"""
432,negative,I might just die if I hear one more person say that Halloween is the Devil\u2019s birthday. That\u2019s crazy!!!! I was born on May 19th.
434,negative,@CoL_70 Yep\u002c Mavs started 0-4 before racking up 67 wins in 06-07. Of course they also flamed out in the 1st round against Golden State.
438,negative,@PauDusi I was supposed to go to the 30 Rock on Monday so I could buy some NBC stuff\u002c but my brothers were tired and we had to go home :(
442,negative,@MegaCeltsfan true!..dude hasn\u2019t gotten it in his 4th season and still plays the same\u002c can\u2019t be like Alex Smith who just got it together lol
444,negative,I wanna see @lalahhathaway Friday with al green so bad. Missing my Pinkroom family!! #
450,negative,Boston Rob may have won Survivor AND The Bachelor\u002c but definitely not the FINCHELOR. #RHAP #FAN
453,negative,It\u2019s Tuesday. 8pm. I turn to ABC Family and it makes me sad to see there\u2019s no Pretty Little Liars #countingdown #jan8 #PLLfanproblems
456,negative,"""Spotify is all \""""Matt and Kim station eh? May we suggest David Guetta?\""""  No\u002c you may not."""
463,negative,I remember when I had twitter jail on a football Sunday during the Cowboys game. The game wasn\u2019t even halfway done #HatedIt
467,negative,"""\""""@bomani_jones: monday\u2019s \""""bomani & jones\"""" is on jordan jefferson...and yeah\u002c it\u2019ll be a doozy\u002c too.\"""" They give us weed smokers a bad name"""
469,negative,Honey Badger and Jordan Jefferson both got arrested for pot possession for the 3rd time. He\u2019s out for good #fuckkkk #herbaddiction
475,negative,This is the worst year possible to be obsessed with someone and want to be at every single one of their concerts\u002c I have GCSE\u2019s and SAT\u2019s!:(
477,negative,@shalisemyoung oh didn\u2019t I see where Tom Brady is the 9th most overrated NFL player. Yes this explains it.  #nflplayersarehaterstoo
483,negative,@LSUFreek C\u2019mon man! Honey badger just don\u2019t give a shit!
489,negative,"""\""""@JazzzyyJ: this is the first Thursday in a long time where i didn\u2019t get to see @lokaay :( #HowSad\"""" Skype counts (:"""
490,negative,got Being Human series 4 today. May just watch that tomorrow if this shitey weather continues :)
493,negative,I havent went to Philly in a while :( my mom going tomorrow but she coming back the day after. & that\u2019s bullshit.
495,negative,"""\""""Big Brother may be watching you right now\u002c and you may never know. #Surveillance is the new normal\"""" http://t.co/ZKKyVxOf"""
503,negative,In May OKC is still gonna b the primary threat to lose to the Lakers
504,negative,@Btch_PayME @i_fly1stclass he said if Chris bosh had to burp that shit wouldn\u2019t come out til tomorrow long neck mothafucka lmfaoooo go head!
506,negative,@ToddAkin What makes me almost as angry as #legitimaterape is that I may vote for @clairecmc\u002c even though she supported PIPA. Lesser evil...
511,negative,@_Crystall07 lol well my parents said no tomorrow and Sunday she said u could come to mi casa but if no then on the day u said el oh el
521,negative,WTF. So now we have to wait til friggin\u2019 JANUARY for the next episode of Pretty Little Liars. What is this?!
525,negative,Fuuuuck... Up by 11 / gotta sweat Vernon Davis in the Monday night game. I\u2019ll vomit from @casey22rolltide talking up his shit team if I lose
537,negative,I could have been asleep by eleven. Except I found m iPod.... I\u2019m going to be so tired tomorrow.
538,negative,Why is everyone saying they arent pleased with TVD tonight? What happened???? Unfortunately it isnt on until Tuesday in the UK:(
539,negative,TV Ratings: CBS and FOX split a low-rated Wednesday: On a night impacted by both Halloween and the after-effects... http://t.co/OTzZ5FFL
540,negative,Bears suffer a 2-1 loss at SDSU tonight http://t.co/gVjbkrAk next up - No. 4/5 UCLA on Sunday in Los Angeles #GoBears
549,negative,@SpicyMamacita69 I hate those movies and Devil Inside\u002c and I think it\u2019s called 4th kind. All those documentary type.
554,negative,Special Notice for lefties who try to watch the best show on TV\u002c Justified.  http://t.co/6FC1Xj0Y (2nd try melts tv) http://t.co/aO4luftP
555,negative,El Classico on a Sunday Night isn\u2019t perfect for the Monday Morning !!
557,negative,@AlistairWhite tomorrow? I don\u2019t think so babe\u002c sorry... only confirmed sunday with Pats...
561,negative,@apwestgarth In case you didn\u2019t spot it\u002c Greys Anatomy is back next Wednesday at 10 on Living // @stack72
566,negative,This is only the 4th time wearing my Concords
568,negative,Who the hell moshes at Matt and Kim?? Next time watch out for my face\u002c mofos! My cheekbones better not be purple tomorrow. @alexanderCXV
573,negative,How in hell did Philly give #MichaelVick a 100 million dollar contract? They would be better off with Matt Flynn for a 1/4th price. #Idiots
576,negative,To whom this may concern:  Please get your shit together before you talk about somebody else   Love\u002c Paris
578,negative,no Chipotle today and no Grey\u2019s Anatomy tomorrow......... obviously the world hates me
584,negative,@joelmchale February?! The fuck. NBX shitting the bed w/ Community\u002c Parks and Recreation\u002c Up All Night and 30 Rock
586,negative,Steve Jobs and Dr. King on the same level?!?! Nah... C\u2019mon Kanye..
587,negative,Drake didn\u2019t drop any new shit in October. @JaimeeHendrix cried this morning when he realized
593,negative,@SimpplyA TMILLS is going to Tucson! But the 29th and it\u2019s on a Thursday :(
595,negative,WSJ: Microsoft testing homegrown handset designs with suppliers\u002c may not see mass pro:   Until very recently\u002c Mi... http://t.co/7E5QXak8
605,negative,At some point tomorrow morning/afternoon\u002c the #NHL will can the Winter Classic\u002c and effectively the entire season. Is it March Madness yet?
608,negative,I was legitimately more impressed and intimidated by The Devil Inside than with PA4. Might not see the 5th one at all.
614,negative,just a quick message to my #TVDUKFamily and anyone else who can\u2019t watch TVD tonight\u002c my surprise won\u2019t be revealed until tomorrow so ...
628,negative,@TheBiggIdea If you watch Any Given Sunday backwards\u002c it\u2019s like Tim Tebow\u2019s career.
629,negative,Jordan Rhodes was NOT jeered last night like this bellend in the sun is reporting!!!
640,negative,@kjrmitch you should call in sick....i mean who can listen to HM tomorrow.  Blah\u002c blah...matt Flynn...blah\u002c blah blah...matt Flynn....blah\u002c
644,negative,@madeleinegracee seriously\u002c got punished for a month in the 8th grade for going to contraband and its been downhill since #wildchild
647,negative,@mtracey such a foolish thought. Santorum and Palin would start a primary challenge in March. Depends on Congress some but EO first day.
653,negative,World Peace has no talent. I have no reason why we let go of Lamar Odom in the first place. Best 6th man we\u2019ve had in a while.
656,negative,hearing KSU talk about WVU like this gets me so heated! I want us to go orange bowl on them this sat
659,negative,@kendalldawn13 it\u2019s time to call in the CBB...Monday is going down!
666,negative,That awk moment Baylor offers a ridiculous amount of money that could be a full ride at Tech\u002c but doesn\u2019t even cover the 1st year. Eff ya.
672,negative,@redfoster Sorry Red\u002c I\u2019d normally love to but I can\u2019t.  I\u2019ll be locked in the office Saturday and Sunday except for the Pacers game.
690,negative,LIVE: Sunderland v Newcastle: It may not have the glamour of El Clasico or the title implications of the Manches... http://t.co/vcZbEVUs
702,negative,Matt Flynn May Never Play Quarterback for the Seattle Seahawks | Bleacher Report http://t.co/7G6XFRVa via @bleacherreport @seahawks
704,negative,A white guy just quoted MLK Jr. on stage at a conservative conference. Liberals may now tantrum it up. #FreePAC http://t.co/lY9unNtg
707,negative,"""Kanye said it best -> \""""  1st they HATE you\u002c  Then they LOVE you\u002c  Then they HATE you again\"""""""
708,negative,@sergiomckenzie ano it was Chelsea when they lost and MUFC when they lost last night! Can\u2019t see Pardew saying about Suarez if lfc win Sunday
711,negative,Many Websites Going Dark Today in Protest of SOPA and PIPA - You may have noticed that some of the websites... http://t.co/d4ymb9M2
716,negative,@DustinHurst @jhwygirl when you\u2019re accustomed to the 5th grade anti-intellectualism of Fox and conservative radio it must be jarring.
717,negative,Mavs couldn\u2019t withstand the 3rd quarter by the Jazz. Maybe a little fatigue from a back to back? #WorkToDo
719,negative,Chris bosh MAY be the ugliest man alive.
720,negative,"""\""""power is cancelled tomorrow due to lack of hustle....deal with it\"""" #Sandy #heavyweights"""
723,negative,"""\""""@ESPNChrisPalmer: Dwight Howard gets his 4th career 30-point\u002c 10-rebound\u002c 5-assist game.\"""" Too bad it comes in a loss. #Portland"""
727,negative,Los Angeles\u002c Nov 2 (IANS) Actress Keira Knightley says although she does not like some traits of her character A... http://t.co/KfcjX9KW
728,negative,In the Sports World Report: Steelers can\u2019t find hotel\u002c to travel Sun.: The Pittsburgh Steelers will fly to New Y... http://t.co/ANiLhGlM
757,negative,If Chris bosh drinks a beer he won\u2019t burp till tomorrow\u002c long neck modafacka
761,negative,SOPA Is Back! As a Ransomware Virus: [http://t.co/Rzgj7JZJ] After historic Internet protests in January the SOPA... http://t.co/yNaRCd1E
762,negative,@sophers160295 @Official_CPFC don\u2019t you worry will still win saturday and bolton will lose #cpfc
771,negative,I may just have to move the numbers game to FB cuz 140 characters aren\u2019t enough for the ones that sent numbers lol
772,negative,Oh God can ABC be more obvious? They keep touting Taylor as 1st female to win EOTY 3x in commercials. Give it away much? Vomiting.
776,negative,John 3:16 meaning: 3rd and 16th letters are C and P\u002c for child porn\u002c and the guy\u2019s name is John. he\u2019s recruiting at the game.
782,negative,@GeorgiaSings Have a Great Tour Georgia! So sad that you won\u2019t be in Youngstown for a 2nd year in a row & I won\u2019t get to see you guys :(
784,negative,Why won\u2019t NBC\u002c CBS\u002c ABC and CNN cover the breaking news in the Benghazi story? Information came out last Tuesday\u002c... http://t.co/feXPSvfT
787,negative,Some random man just sat next to me on the bus and told me I had skin cancer. Wtf?! Good old Oldham!!
789,negative,I know most of us #LFC fans hate him\u002c but would we take Torres back for 10 million to play with Suarez up front in January ??
792,negative,@CorbinDunlap oh you will.... Unfortunately I may have to toss a few to Matt... He did my homework
795,negative,@CoreyBmorFit I may come up with a thousand excuses but I\u2019m dragging my ass to camp tom!
799,negative,German oral exam on the Monday I go back to school and then on the Thursday I have a maths algebra GCSE kill me now
800,negative,Oh goodness\u002c Rick Santorum will be in town tomorrow to kick off early voting. North Carolina\u002c a gentle reminder\u002c you\u2019re better than this.
809,negative,wow there\u2019s two @onedirection just put the previews on iTunes already they\u2019ll all be leaked by Monday
812,negative,when is UVa just gonna cancel classes for tomorrow already? JESUS
815,negative,@erickmartin oh wow! Did you just trade Elvis? I\u2019m just saying @the_chance44 may not like you! :)
816,negative,@hwangprincess Tumblr keeps eating my messages. Something came up tho sobs. ;__; I\u2019ll tell everything tomorrow/tonight. I love you lots ;;
817,negative,#TalkLikeYourBestFriend C\u2019mon Big Ben! You\u2019ll never get another ring if you keep throwing pick sixes all the time! @AndrewBurgess95
819,negative,Mao\u2019s cult may have no place in China\u2019s future: As tension increased on the border with India in the early 1960\u2019... http://t.co/ebPytToX
821,negative,Drake\u002c lil Wayne\u002c dr dre\u002c wiz\u002c Mac\u002c all dem haters gonna be jealous of our tweets in the sun rise motha fuckas @kstoj05
827,negative,Sooooo.... we think you Whovians may have just crashed the People\u2019s Choice Awards site. - doctorwho: Or\u002c... http://t.co/m0y72fPv
829,negative,Check it out! --> Report: Steelers can\u2019t find hotel\u002c to travel Sun. http://t.co/tYDbTITf
832,negative,Demba Ba is a doubt for Newcastle Utd\u2019s trip to Anfield on Sunday after he limped off yesterday.  The problem... http://t.co/dmqePF7L
837,negative,Get the Concords in December\u002c get my camaro into an accident with a brand new civic and get a ticket on top of it
841,negative,I still don\u2019t understand the joke behind Motor boatin\u2019......I\u2019ll ask Tom tomorrow morning. (wink-wink)
844,negative,Demba ba injury not so serious so he should be fit for Liverpool this Sunday lets hope he scans ok that\u2019s the main thing
847,negative,Whoever is sat next to me tomorrow beware. If we score you may get raped like when Tim Howard scored.
848,negative,@TurnOnTheJets #Jets get Big Ben off the field on 3rd down I\u2019m convinced we win. Everything changes. I\u2019m depressed now @mikejets22 @CGROSS97
851,negative,Ike Taylor is the worst starter in the NFL....He must work hard & finish 1st in all sprint drills...How is he still starting?
858,negative,Call us superstitious...our condo does not have a 13th floor. Some Wiki thoughts on the origin of that tradition: http://t.co/BnGepbeC
863,negative,He needs to win against the Clippers tomorrow or hell will start to rain down on his ass !
864,negative,Chalmers is gonna get fined soon\u002c that the 2nd flop so far?
869,negative,why is Chris Bosh so fuckin\u2019 ugly -__- the world may never know.
874,negative,@mickygray33 were you shocked at how poor Sunderland were on Tuesday night against a small town from Yorkshire ?
875,negative,JK bless that this Sunday is the season finale of Downton Abbey. I don\u2019t know how much more crying I can take.
895,negative,@Loca_Lesley Well have to have a defensive stand at the beginning of the 3rd. But lord knows Ike Taylor will get beat deep
899,negative,@Raptors have no one to blame in the home opener loss - to the Pacers - Except themselves. Lots of bad shots in the 4th! #Toronto #Raptors
901,negative,Ew \u002c School tomorrow \u002c it gets tiring making straight A\u2019s -__-
907,negative,Watching bad reality television with Drew before he leaves for Georgia tomorrow. Bad reality TV...is that redundant? Haha #ILoveMyBestFriend
914,negative,@_KidTurtle chandler & him were going to trade Concords & cool greys\u002c but I was going to tell Da\u2019Shon to not bring them tomorrow.
920,negative,4th quarter Westbrook (Honey Badger) is going to miss James Harden. #ThunderUP
921,negative,I have to be up by 6:30 tomorrow for the Rose Parade thingy\u002c the band is playing in it. I don\u2019t even like marching!
925,negative,@KevinBossman the #Chiefs are missing your presence down the seam. What happened to the #Chiefs that played in the 1st half of Atl game?
927,negative,Teen Mom 2 comes back Monday. Still not as good as the first teen mom tho...
930,negative,Getting off of Twitter for tonight im gonna get on Tumblr then bed goodnight oh yeah & I WON\u2019T BE HERE THIS WEEKEND SO NO TWITTER TIL SUNDAY
936,negative,Lil Mouse and the buffoons that support his foolishness set the black race back 400 years... Dr. King didn\u2019t march for that foolishness...
948,negative,@JT1242 @lampauski @pete_sl kirk is true that your a twisted sexuall killer from the 4th dimension?
953,negative,@You_TaeBo_Hoe Ben has said his 1st SB he played like shit and against the Packers he played ok but 3 picks hurts
958,negative,Only my brother would lose his ipod the 2nd day he gets it #biggestretard
969,negative,@davidcorrey this is so wrong\u002c David! But here in Brazil you already got the X FACTOR! Dont worry\u002c brazilian boy :) c\u2019mon!
970,negative,"""\""""@FactsAboutMitt: @MittRomney falsely claimed he saw his father march with Martin Luther King Jr.  http://t.co/6I5JYxIQ\"""" #Facts #Truth"""
973,negative,@TheXclass @toddstarnes Actually Todd here is starving for a theocracy; nothing new under the sun. Fox fans those flames. Easy to sell fear
979,negative,i swear i\u2019m just gonna kirk if somebody come out their mouth wrong tomorrow\u002c cause i can\u2019t take that shit no more
980,negative,I may be a Patriots fan but I was really hoping the cowboys would win.....I really hate the Giants....with all my heart....and more...
983,negative,"""@CaileighScott BREAKING: I just learned \""""on to\"""" is two words. It\u2019s like 2:30am and I have a stomachache. Skype tomorrow? Goodnight lovely!"""
988,negative,LAKERS NOTEBOOK: Nash listed as doubtful for showdown with Clippers: Steve Nash and Kobe Bryant sat out ... http://t.co/aElumTSD #lakers
991,negative,"""Get ur excuses in early lol\""""@MCRisBLUE: Cant see us beating West Ham on sat not now that Howard Webb is on loan to the hammers for the game\"""""""
992,negative,You know you are desperate of answer when you see the 2nd page of google.
998,negative,Miss you - Aaliyah on repeat. too many lost ones pop in my mind. Tribute to them may be on the way from me...look out
1003,negative,Very gruesome terrible injury for Marcus Lattimore (2nd year in a row) be strong\u002c the injury was similar to Mcgahee from 2003 Fiesta Bowl.
1004,negative,Former LSU QB Jordan Jefferson was arrested w/ the Honey Badger. Daddy Miles can\u2019t save you this time and let you start on Saturday.
1005,negative,@CalvLyfeson Except for the part where because of lack of depth we also had to play Gerrard\u002c Suarez for a bunch\u002c which may screw us....
1008,negative,"""\""""@Bobbieliciouss: Don\u2019t think i\u2019m going to school tomorrow.\"""" School\u2019s gonna crack tomorrow"""
1011,negative,"""\""""@SheScreaminJohn: I don\u2019t care I\u2019m bringing out the Concords tomorrow.\"""" Don\u2019t !!!!!!!"""
1017,negative,The most tragic part about missing TVD is that I have to wait until Tuesday to watch it...
1023,negative,Oh\u002c is Fox lying and be racist? Huh\u002c so it\u2019s a typical Thursday then. #HailObama #RacistCons #FauxNews
1029,negative,@raaddiiiccall you mean 1st? And okay you\u2019re gonna have a hard time persuading people that you dont like Tyler with that @ name
1038,negative,Well doctors said I have some kind of bug &it\u2019s probably best I don\u2019t go to school until Monday its a good thing too #badfever #verysickgirl
1039,negative,@jordanschuster5 I\u2019m sick with something ill be at school on Monday though
1045,negative,@thempeas @laclips The opposite of love isn\u2019t hate; it\u2019s apathy.  But why stoke the fires when they may never burn as brightly again?
1047,negative,If my stomach still feels funny tomorrow\u002c I\u2019m going to punch one\u002c or possibly all\u002c of the Jordan kids right in the kidneys.
1049,negative,I am manipulative: Knightley: Los Angeles\u002c Nov 2: Actress Keira Knightley says although she does not like some t... http://t.co/CenpsQs3
1057,negative,People are researching the Wolf crash to try and make SC racing safer. If anyone found his GoPro contact Me or Brian Sperry. It may help.
1064,negative,On Sunday night\u002c does Dick LeBeau expect to match Ike Taylor up with A.J. Green? Because I don\u2019t think that\u2019s gonna work in our favor.
1066,negative,A whole day of Maths\u002c I have to endure this on monday:( #killmenow
1067,negative,Might not be able to get a free taco tomorrow. As Napoleon Dynamite would say\u002c dang it!
1078,negative,@BenG_ThatsMe @Mr_MKN ..LeFraud can NOT carry his team in dah 4th qtr!! We\u2019ve seen it time an again! He looks for Miller and Chalmers...etc!
1085,negative,heading into this sunday im in trouble At the TE spot Vernon Davis is on the bye Fred Davis is on IR and Finley Is Q\u2019able
1087,negative,What the crap\u002c NBC? The Voice does NOT belong on Thursday nights. I need my 30 Rock\u002c Parks and Red\u002c and The Office. And I want #Community!
1092,negative,@ehaynzz I may not make it to Anatomy in the morning due to a WD40 overdose
1095,negative,@Hawthornee_ wrong. Friday - Rebecca black. Are you some special kind of stupid? Ugh
1097,negative,Trent Richardson is the bad-weather back the Cleveland Browns have long needed: Bill Livingston\u2019s Mon... http://t.co/deHRCcdj #cleveland
1102,negative,I just looked at UVa\u2019s SAT requirements and such... im definitaly not getting in straight up. lawl at me. looks like im going to transfer.
