,attitude,tweets
172,positive,@premierleague Mr Howard Webb did a fantastic comback in Chelsea match 05 February 2012 - with the help of two magic penalties of course...
174,positive,Cowboys will beat the falcons sunday #iStamp
177,positive,Vegas Beat: Ellen reveals that Madonna helped her come out of the closet: Tuesday\u2019s episode of Ellen featured th... http://t.co/PwhBvNK1
178,positive,Can\u2019t wait to go to the WVU vs. TCU game on Saturday
179,positive,Very much looking forward to Saturday. Afternoon tea and Firework display at the Celtic Manor.
184,positive,Muhammad Ali came into my work tonight to eat...I think that being in the presence of a legend made this Tuesday pretty legit.
185,positive,"""\""""I didn\u2019t want New York to miss my Madonna show. Get ready for Monday! It\u2019s gonna be on WNBC!\"""" There is a God<333333 Thanks Ellen :\u20193"""
191,positive,Hey @SDuPreeBemis :) Support to the Philippines? Cybercrime Law to be in full effect tomorrow. Our version of SOPA #JunktheCybercrimeLaw
193,positive,I get to see Ces tomorrow!!!!! Best news since the hurricane. He better not forget his flashlight!
195,positive,#njed please join @Sirotiak02 and myself  this Tuesday @ 8:30 PM as we discuss HIB. Special guest moderator @WMS_Counselor glad to have you.
198,positive,it\u2019s either UA or AU for grad school. As much as I love Alabama\u002c I\u2019m thinking Auburn may be the better choice for me.
199,positive,Watched a Pride and Prejudice play and then the season finale of the 2nd season of Downton Abbey. Tonight is so British.
204,positive,@bursonperson - Spotted: I just saw Elvis\u002c I\u2019m beginning to like the temporary 7th floor office. ;) @AOlavarria
205,positive,got to rockdale today and going back to houston tomorrow THANK GOD!
206,positive,@MMFlint you got a sweet shout out at a Jon huntsman jr speech in St. Louis Monday night. Well done!
210,positive,Pacers fans are going to have fun on Saturday...
213,positive,Congratulations on scoring your first goal for Swansea yesterday. May I say that you look exactly like Jonas Gutierrez ! @ChicoFlores12
215,positive,Thanks to Norton Junior School for Friday\u2019s superb Op Anticipate assembly and the fab singing. Katy Perry\u2019s Firework had us beaming all day!
217,positive,@BrodyLogan | That way\u002c the Orange Bowl would always be a part of me. I think it was a wise choice. Shit\u002c is it Thursday yet? Game time!
218,positive,Love my new #toy.I mean my IPod touch.5th generation.Does everything but make phone calls and has no GPS ability.I don\u2019t need those options.
222,positive,I will watch Coach Stews Fiesta Bowl speech before the game tomorrow. Just seems right for some reason. I know he is smiling at this team.
233,positive,...it\u2019s Jason and i 3rd year anniversary today & it\u2019s my baby makes 3 months today! im the happiest and luckiest lady on earth :)
237,positive,Wow\u002c what a weekend: Flying Lotus\u002c Zombie Apocalypse\u002c writing\u002c Patriots\u002c Dog Beach...goodnight everyone. Monday morning\u002c screw you.
243,positive,We\u2019re going to be in the rose parade tomorrow with the other obedience club dogs! Lizzie will be wearing roses! :-)
247,positive,Chris Bosh may not be easy on the eyes\u002c but he has a freakin beautiful family!
248,positive,BU grads are the 7th most employable in US after Harvard\u002c Yale\u002c Stanford\u002c MIT\u002c Columbia\u002c and Princeton. #hopethisistrue http://t.co/yDcczEqP
252,positive,Also don\u2019t forget #YourHealthIsYour Wealth 11.14.12 that Wednesday before #TheAKAdemyAwards come do Zumba with your @SFA_AKAs
254,positive,Napoleon dynamite is on and im not going to school tomorrow. #fantastic
258,positive,Watching Eddie Izzard Circle. Sooooo funny but I think it\u2019s bed time. Will make Andy watch it with me tomorrow.
259,positive,Looking forward to a fun weekend in the mountains and enjoying the snow in California.  Have a great Friday. http://t.co/Itxs0ik1
270,positive,Looking fowrard to kaman returning this saturday when Mavs face the Bobcats! #MavsNation #GOMAVS
277,positive,"""\""""@D1_Prospect: Singing find your love by Drake like the kid in my 4th block class that swears he\u2019s good.\"""" Lmaoooo!!! Leave that boy ALONE!"""
280,positive,@Jed_Belaguas yoo.. you gonna be at ECAASU in February? let\u2019s go bro! come to Philly\u002c i\u2019ll drive up!
286,positive,Excited for pre-Fashion Night Out drinks at Pipa tomorrow night with the HomePolish designers! First of many... http://t.co/exClqgSM
290,positive,Aquib Talib for a 4th round pick is larceny. Good move by the Patriots.
294,positive,@LukeBryanOnline you did an amazing job.....Can u fly to Indiana and sing to me for my birthday tomorrow
295,positive,@Warren_Kole@MichaelEaly Do u follow dj @THEJEDEYE1 ? U should\u002c he\u2019s great\u002c daily songs.Today was At Last\u002cEtta James.12th time youtube.Wow!
301,positive,My best friend is trying out for the Rose Parade tomorrow. I wish you the best Shante<3 Good luck! @Forever_Shante
307,positive,"""Join us in the AV Dept on Weds Aug 15 at 7pm to watch the free movie\u002c\""""Joyful Noise\"""" for all ages\u002cunder age 8 needs adult.  #stdlav"""
308,positive,@Espngreeny U guys talk about Eli in the 4th qt Big Ben isn\u2019t to shabby either and steelers fans aren\u2019t complaining trust me
310,positive,@jemcapeding lets just go protest tomorrow spread to our pirate brothers! We did it with SOPA lets tey it again :)
315,positive,Forget the Ricky Gervais animation show...this is the animation *vid to watch!... http://t.co/sQnBgPpz *May have something to do with us.
316,positive,@Imaginers_of_1D May I have one with Liam please? My name is Bethan :) x Thank you!  X
317,positive,"""Best attitude for living:   \""""My Pain may be the Reason for Somebody\u2019s Laugh\u002c But My Laugh Must Never Be the... http://t.co/kLcELM2d"""
323,positive,camping out on the parade grounds thursday and friday night to make sure our tailgate spot is safe. GEAUX TIGERS
331,positive,Yeay yeay yeay!!! Home opener tomorrow! Let\u2019s go @warriors ! AND excited to hang w/ greatest fans in the NBA! See you all there tomorrow!
332,positive,oh and Red Tails for the 1st time.. yeah yeah kinda orta late af.. but it was good!
334,positive,Guys\u002c when Liam comes on tomorrow. Please spam him to follow @1Dsexydudes it would make her smile. She deserves it. Please. I\u2019m beggin you.
339,positive,49ers helping the Vernon Davis cause for story on @E60. Profile on him airs tomorrow on ESPN. Good stuff. #E60
340,positive,So excited to go to Philly tomorrow wifff the best people everrr @rue_says @c_spenceful @LaurenElyse6 and Roseeee :))) #lovethem
342,positive,Foxtel is the best money I have ever spent. Productivity goes down on Tuesday\u2019s... Newsroom\u002c Mob Wives\u002c general omg-ness. Love it.
345,positive,"""Teen mom 2 on Monday Ahhh can\u2019t wait!!! Wish I could watch with @WhitkaeCRAY19 !!! Best line ever \""""im addicted...I love weed!!\"""""""
349,positive,Parlay hit\u002c fantasy teams won\u002c Giants sweep\u002c Niners smash. Best week ever\u002c and it\u2019s only Monday.
351,positive,ZUMBA FITNESS CLASSES IN ERDINGTON - EVERY WEDNESDAY - ZUMBA IS FOR EVERYONE! Loaded with red-hot dance steps\u002c Lati.. http://t.co/oyRjeEDN
352,positive,Barclays Profit Driven by Investment Banking: LONDON--Barclays PLC (BCS) Wednesday continued to reap the rewards... http://t.co/jBz4Ha55
353,positive,PUMPED! MT @NestaMAZING: Tina Fey & Amy Poehler will host the 70th Golden Globe Awards in Jan &\u002c for once\u002c I may care about an awards show!
356,positive,See you all in the church tomorrow\u2019s MIRACLE SERVICE at 7pm\u002c and God will be bless you in Jesus name.  John 3:16... http://t.co/jPlvGD4p
359,positive,I ain\u2019t asking for much\u002c just listen to atleast the 1st 3 songs & give me some feedback>>>DreamTeam (Full Mixtape) http://t.co/OzvJr3jY
361,positive,Can not wait for the 3 season of Mob Wives. #TrueBitches #January @DritaDavanzo @Carlafacciolo
362,positive,@real_liam_payne Liam please follow me for my birthday on the 3rd! Love ya! c:
372,positive,Yeaaah tomorrow I can download the mew Pretty Little Liars again!! #PPL
373,positive,Be proud of what you do! Monday Morning Motivation: Martin Luther King Jr. http://t.co/CHy9jz07 #Inspiration
374,positive,Emile Heskey scores a bicycle kick (2nd goal) for Newcastle Jets v Melbourne Victory!!! http://t.co/O0PP1KaL --- What the ? How the ? Why...
380,positive,Pacers won without Granger to night David West step on in the 4th #GoIndiana
381,positive,"""\""""John 3:16\u002cthe Fab Four\u002cthe 50 Yard Line\u002cthe 13th floor\u002c9/11\u002cthe Dirty Dozen\u002cwe\u2019re all waiting for the 2nd coming...Numbers\""""-JMC #GreatSong"""
383,positive,Can\u2019t wait to kick it with these outstanding musicians as well as perform for my New England fans on Saturday... http://t.co/vn7WYrzx
384,positive,@justinbieber i miss Kidrauhl\u002c proud of Justin Bieber. I love you today\u002c tomorrow and always.
386,positive,Tina Fey & Amy Poehler are hosting the Golden Globes in January. Best news today!
387,positive,My idol is tuning 15 on Monday! She\u2019s growing up so fast!! I remember when she was that girl on Wizards of Waverly Place @bellathorne
390,positive,@Ratchet_Fuji  #FightForMatt I think that I want to make it spread so that you may not be inconvenienced. I wish  Matt becomes fine.
396,positive,Excited for Super Sunday coming up? Milan Derby\u002c El Clasico\u002c Newcastle-Man Utd\u002c Marseille PSG? Should be epic. Keep it locked here 4 updates
402,positive,it\u2019s officially November 2 here in the Philippines.. so.. umm.. HAPPY BIRTHDAY Kendall! i love you! @HeffronDrive @bigtimerush
403,positive,Well\u002c the sun is finally coming up\u002c so it\u2019s time to slap some bacon on a biscuit and get to work.  #burningdaylight  Laters\u002c Patriots!
404,positive,Highlight of that game was the bottom of the 10th. Some guy chillin with a John 3:16 sign behind home. Sup bro.
405,positive,"""Watching \""""Contraband\"""" for the 3rd time\u002c Mark Wahlberg is the man!"""
411,positive,Seriously the boys worked so hard on de album &there\u2019s a leak again? I\u2019m gonna wait since the album preview on itunes on monday.worth d wait
412,positive,Cannot wait to smash dinner tonight and eat my feelings...and then box all of it off tomorrow Muhammad Ali style.
414,positive,I\u2019m having White Collar withdrawal. I can\u2019t wait till it comes back in January.
415,positive,@BWade133 @deshotel22 I\u2019m guessing the night of the 16th is gonna work the best. Invited you and Nick on FB.
418,positive,At tomorrow\u2019s Heritage Convocation we will celebrate the last 125 years of SC history. Come to Culbertson at 10 am! http://t.co/Fp4hGcMF
419,positive,"""\""""@TheEllenShow: I didn\u2019t want New York to miss my Madonna show. Get ready for Monday! It\u2019s gonna be on WNBC!\"""" Aw how nice"""
424,positive,I\u2019m going to KFC tomorrow so ANDY (the guy/boy idk what age he was) better be there because he\u2019s like my runaway love
428,positive,"""\""""@joshuaarodgers: We say we have problems but putting life in to perspective we have such fortunate lives\"""" you may be Martin Luther King."""
429,positive,@krisolsen have a big show on in Melb tonight then back in Singapore on Sunday for a month!!
433,positive,@Nikki2987 Saturday morning movies at the theatre! Tom & Jerry\u002c The Jungle Book! Loved that I always got to bring a friend! #PositiveThurs
436,positive,In bed in Plymouth hotel for the last night of holidays - home tomorrow. Had fun meeting @TomDaley1994 and @toniacouch but time for home :(
440,positive,@justinbieber the 1st day I ever watched a Kidrauhl videoThe one of u singing in the mirror #Believe I thought u were adorable&u still r (;
441,positive,"""Buy my new album comming out called \""""fuck you procrastination 3\"""" ft. Drake trey songz NWC MEEK Rick Ross. Drops in WSHH november 19 cop it!!"""
446,positive,Tina Fey and Amy Poehler will host the 70th Golden Globe Awards in January and\u002c for once\u002c I may care about an awards show!
447,positive,Got so excited because today is thursday and Grey\u2019s Anatomy was coming on. But then @Tee_Jay_Gee reminded me that it\u2019s not. #crushed
454,positive,Have the privilege to ride DOD sponsored float in January 1 Rose Parade in Pasadena\u002c California!
455,positive,I liked a @YouTube video http://t.co/1hzJc8Yo Chris Jericho\u2019s 1st appearance after the Royal Rumble 2002 PPV (1/2)
461,positive,@iansomerhalder Just wanted to let you know that TVD was AMAZING tonight!!! Only the 4th episode and it was so intense! Loved it! :)
465,positive,#JustinDoAFollowSpree c\u2019mon\u002c u want to Kidrauhl follow u\u2019r amazing account? So let\u2019s trend!^^
466,positive,Absolutely amazing day! November 11 is the HUGE revealing party for NLC. I absolutely can not wait ~ Pastor C
468,positive,"""It\u2019s good some ABC and CBS outlets are reporting Benghazi - but part of reason is probably so they can claim \""""but we reported it!\"""" @ 11th hr"""
470,positive,3rd in 2 games!!! Emile Heskey bags the opener for Newcastle Jets. He Scores when he wants ! :P  x) http://t.co/FJo5ZN6G
473,positive,"""@ThaNorseGod Tim Tebow has already had more success than over 95% of QBs who have ever been in the NFL and this is his 3rd season. \""""killed\""""?"""
479,positive,"""\""""If I knew that tomorrow the world ends\u002c I still today\u002c plant a tree.\""""  Martin Luther King"""
481,positive,I love competing in the Miss America\u2019s Outstanding Teen program.. Can\u2019t wait until tomorrow! #pageantday
485,positive,Tomorrow is #PitBull Awareness Day! Help us change the perception so many people have about this wonderful breed. http://t.co/MgeUbZH6
486,positive,@OpBBQRelief is heading to Tom\u2019s River NJ and Manhatten\u002c please consider donating to the cause. They feed 1st responders and communities.
492,positive,Betting on the Honey Badger: Will Tyrann Mathieu Make it to the NFL?: This Aug. 2\u002c 2012 file photo shows LSU cor... http://t.co/DG6LMPOa
496,positive,Morning Twitterites! Goal: By 5pm Friday\u002c want to see MSM report on Benghazi\u002c and Obama below 42% in polls. HAMMER IT HOME\u002c PATRIOTS!
500,positive,yay omg we are off school on April 1st we break up for the hols so if Janet stays over in Liverpool i could try and meet her the next day or
501,positive,@1stAvengerACM love Al Green. Saw him in concert in July...he\u2019s still got it
502,positive,December 4th 2011 Curitiba\u002c Brazil - The first and last time I saw Suicide Silence with Mitch. I\u2019m glad I ha http://t.co/xjx0DtNI
505,positive,Napoleon Dynamite in the morning good way to start of my Sunday lol
507,positive,@foodstyleaholic I really enjoyed the chicken liver parfait and the featured peperonata risotto (hope they\u2019re still serving it tomorrow)!
510,positive,TOUCHDOWN #3!! 21-0 at the beginning of the 2nd quarter is kinda ridiculous. Haha. Oh well\u002c ROLL TIDE!!
515,positive,@justinbieber please Justin follow me ? Hope everyday ! Je t\u2019aime ! Can wait to see u in Paris for the 1st time ! Je t\u2019aime <3
516,positive,I\u2019m right where I wanted to be on this Thursday night: grey goose has me feeling good\u002c baby making dinner and Al Green in the background.
531,positive,Lana Del Rey is playing in May ahhhh have to go\u002c bless you @soph_mchale for revealing this information x
533,positive,*A hot cup of coffee on a cold morning & some nice country music to go gets me everytime :)! #WeAreND (8-0)\u002c 3rd in the BCS!
534,positive,Meet us at 9755 Chalmers tomorrow evening 5:30-7pm- A Righteous Girl Meeting take sum time out your day to have sum christian girl talk...
535,positive,Everytime the steelers are playing on sunday night football the first thing i get fired up for is ike taylor introducing himself
541,positive,Jubiliant Girl won the 5th\u002c trainer John Sadler\u2019s 1\u002c997th TB win in N. America. He also has 2 TB wins vs. QH and 1 win in Dubai. #santaanita
543,positive,@BenjaminA70 I\u2019ll probably watch a few episodes of the Ricky Gervais show tomorrow and in my free periods\u002c on mah laptop. Yay! :D
547,positive,@TCUSchloss Coach\u002c you may want to explore Zumba for your players. Great workout to work on movement and fluidity of movement.
548,positive,"""After 6 seasons\u002c Gossip Girl\u2019s ready to say goodbye on December 17th with 2 hour special \""""New York\u002c I Love You XOXOX\"""""""
550,positive,hmmm how about this book for my birthday.. and El Clasico in La Liga will happen on March 3! sweeeeet! http://t.co/3qSFAiIU
551,positive,I love Thursdays....Grey\u2019s Anatomy....One day closer to Friday.....and No driving to Huntsville.
552,positive,People may hate on Jersey Shore but honestly I love it.
556,positive,Why can\u2019t Sean\u2019s season of The Bachelor just start Monday? #roses #TheBachelor #EXCITED #bestshow
558,positive,My Saturday night is the movie Contraband\u002c Kate Beckinsale is good looking
560,positive,@ErinAndrews @BrianWilson38   I know u miss SEC football Erin. Nothing like it! Can\u2019t wait for BIG monday\u2019s coming soon. @DickieV. Cant wait
562,positive,"""\""""@Jonny_Hancock87: If you google \""""fresh prince costume\"""" I\u2019m the 3rd picture!\"""" That\u2019s cool!"""
565,positive,Tom Stone has this soccer team rolling. HUGE game tomorrow against Baylor in the Big 12 Semifinals. #wreckemtech http://t.co/drR4kNw7
567,positive,Bold prediction: Cowboys will beat the Falcons Sunday night! #CowboysNation
569,positive,"""It\u2019s #DigitalWednesday! If you want an MP3 of \""""Keep your Foot on the Devil\u2019s Neck\u002c\"""" be one of the 1st 10 people to respond \""""I DO!\"""""""
571,positive,@HiIAmEbalyn Kuttay\u002cyou have an exam tomorrow yes?All the best :D do well and don\u2019t think about Zayn and all :P focus and shit :P bye <3
577,positive,Did the Patriots just actually blitz on 3rd down.. amazing what some pressure does
580,positive,"""(And trust\u002c I could talk forever about Madonna\u2019s choice of singles. Would *anything* from MDNA had been a better 1st single than \""""GMAYL?\"""")"""
581,positive,@_robnotbob haha it\u2019ll be alright. We got Swansea on Saturday tho away hahaha just like we talked
590,positive,Leah from teen mom 2 is pregnant with her 3rd child and is getting married for the 2nd time to a new guy.. Congrats you\u2019re 19.
592,positive,The perfect day apart from Jordan Rhodes\u2019 late goal for Blackburn. Up to 6th in the table\u002c bring on next Saturday! #nffc
598,positive,Frank Gore & Vernon Davis\u002c make wins tomorrow please. #fantasyfootball
601,positive,"""\""""@AdamantCriminal: WHITE COLLAR returns on Tuesday\u002c January 22 at 10/9c.\""""Can\u2019t wait to see it :-)"""
602,positive,@pewterpirate83 remember we just beat Arkansas and Ryan Mallett in Sugar Bowl! Arkansas was 2nd best team in SEC that year
604,positive,@anpburgers Good lad. think it\u2019s actually a Saturday. I have the 17th in my diary. S S + AMAZING. El Classico in La Cuchara a highlight!
613,positive,Sugar bowl\u002c then we might play riverside\u002c playin st aug\u002c peabody\u002c op walker. man district goin be the easy part
616,positive,: The Dark Knight Rises. Seeing it for the 3rd time. Lol. Is it too early to start talking about Golden Globe & Oscar nods? Best everything!
618,positive,Contraband with the boys! So eager to finally watch it!! @David @Ronnie #Monday #bored #ineedmoregirlfriends #pathetic
619,positive,Being HUMAN is our number 1 job. A responsibility. Don\u2019t you forget it. Happy Friday! :)
620,positive,Kanye and Kim as Batman and Catwoman may be the best thing I\u2019ve seen all week
621,positive,"""Rasheed Wallace said he\u2019s ready to play \""""30 minutes if needed\"""" in tomorrow\u2019s home opener at MSG against the Heat."""
625,positive,going back to Houston tomorrow(: excited!!!!
626,positive,Can\u2019t wait to go to to the Patriots game dec. 10th :) ahhh i hope we get a mssive snow storm!
627,positive,Attending #WIFLC with our chapter on Sunday? Please bring items for the charity event. Check @WisconsinDECA\u2019s FB for more info. #DECALove
630,positive,#sunsetcinema continues next Thursday with RED TAILS\u002c a fantastic portrayal of the Tuskegee Airmen in action http://t.co/XAQKlwgM
631,positive,What Would Derek Fisher Bring to the L.A. Lakers?: The  Lakers  may soon be creating a new position for free age... http://t.co/MoVKypoU
632,positive,@itsjudytime praying for Judy!! May the Lord Jesus fill your room with His Love and protection!! God Bless you!! John 3:16
633,positive,No way Bucs make that Pats 4th round pick in 201:. It will be packaged to move up. Dominik loves to climb the draft ladder.
634,positive,I needa find this stuff for tomorrow\u002c WSSU parade (: I\u2019ll be with PIPA but you know I\u2019ll be with reppin my MUSTANGS!!!
635,positive,@gsafc thank you\u002c very much appreciated\u002c hoping to deliever great football tweets and good banter\u002c shame about tuesday\u002c i do like Sunderland
638,positive,@ardecarteret have a fun trip tomorrow! Your note is on Tumblr is you didn\u2019t see it yet :) I believe in you\u002c I love you\u002c and run fast <3
639,positive,Welcome Monday. Time to hustle. Get on the train. #hustle #work #love #career #train #chicago #vision #focus http://t.co/OJ22bP0S
642,positive,This time last night was cuddled up with Liam\u002c awh I miss him already:( can\u2019t wait for Saturday:))
648,positive,Watching Napoleon Dynamite and doing homework. I\u2019m having the best Saturday ever.
655,positive,Happy Birthday @hitmansteviej may you have many more. Can\u2019t wait to party with you & @MsJoseline on Sat. in DC @LoveNightclubDC
658,positive,Significant development Monday night: 49ers QB Alex Smith and WR Michael Crabtree were on the same page. http://t.co/BjV8UC7v
660,positive,"""I have the absolute best \""""Big Brother\"""" he\u2019s agreed to go go Starbucks with us on Saturday \u002c <3 #He\u2019sTheBest"""
667,positive,"""Kanye\u2019s 6th solo album apparently... \""""Brighter than Dark Fantasy\u002c and shit that you can dance to. It\u2019ll be a smarter album than Graduation\"""""""
673,positive,@kirkcandersen @godbless_erica Kirk you\u2019ve been my best friend for 16 years and Erica has been my best girl friend since 7th grade
675,positive,Take the 1st step in faith. You dont have to see the whole staircase\u002c just take the 1st step. ~Dr. Martin Luther King Jr. #quote
676,positive,Justin may grow up but he will always be the same ALWAY the Kidrauhl tht will be caring for fans being weird and making others smile
677,positive,@dayaneeb isn\u2019t it still due tomorrow? Ah dude I\u2019m like rewriting my Drake song.. Lmao and changing words on it
680,positive,Monster jam tonight and Celtics home opener tomorrow...loveeee living walking distance from the gahhhhden #bostongirl #citychick
683,positive,I may not be the best singer but when I\u2019m in the shower.I turn into Zayn Malik\u002c and I regret nothing :3
684,positive,Great start to my 4 days off\u002c sat on the sofa\u002c feet up with a JD and coke listening to Al Green\u002c get in :D
685,positive,We may or may not be skyping with Drake right now....hahahahaha #MadeMyNight http://t.co/ixnemzDg
687,positive,"""VDN on Lamar Odom practicing today: \""""It was good to see him out there\u002c so we\u2019ll see how he feels tomorrow.\"""" Odom said\u002c \""""It felt good.\"""""""
689,positive,I\u2019ll be glad when it\u2019s tomorrow so I can stop seeing tweets about how Justin bieber is cool
693,positive,Andy\u002c everything looks positive. You and the NY\u2019ers survived again.  Still one mind set love my Carhart just bought the hood Wed  Lookn Good
