tweet,score
"['scari', 'lightn', 'thunder', ""i'm"", 'glad', 'go', 'sleep', 'hope', ""i'm"", 'late', 'school', 'tomorow', 'haha']",1.0
"['english', 'class', 'work', 'interact', 'oral']",1.0
"['home', 'safe', '...', 'hungri']",1.0
"['fb', 'bore', 'wanna', 'sing', 'right', '..']",1.0
"['must', '...', '...', 'new', 'music', '...', 'sleep', 'give', 'us', 'chapter', '...', 'might', 'die', 'first', 'though', '...', 'hurri']",1.0
"['love', 'song', 'togeth', ""that'"", 'song', '...', 'well', 'think', 'still']",1.0
"['finish', 'hour', 'texa', 'life', 'insur', 'ce', 'tonight', 'hour', 'go']",1.0
"['want', 'go', 'peru', 'summer', 'ahhh', 'hope', 'yesyesy', 'miss']",1.0
"['yeah', 'physic', 'move', 'appar', ""we'll"", 'report', 'directli', 'mr', 'hayward', '...']",1.0
"['want', 'anoth', 'tatt']",1.0
"['need', 'make', 'lot', 'money', 'tomorrow']",1.0
"['pug', 'woke', 'incred', 'sleep']",1.0
"['wait', 'hear', 'new', 'album', 'sure', 'amazing.pleas', 'replay', 'love', 'much']",1.0
"['know', 'ridicul', 'never', 'got', 'hang', 'love', 'chicago', 'want', 'go', 'shop', '...', 'trip', 'sound', 'like', 'fun']",1.0
"['nooo', 'look', 'lot', 'pictur', 'lol', 'lol']",1.0
"[""there'"", 'realli', 'android', 'twitter', 'app', ""tweetie'"", 'calibr']",1.0
"['finish', '...', ""i'm"", 'color', 'draw', 'come']",1.0
"['pic', 'upload', 'babi', 'pic', 'cat', 'missi', 'adult', 'pretti', 'littl', 'kitti', 'batti', 'kitten', 'heaven']",1.0
"['demi', 'say', 'hi', 'enough', 'replay', 'pleas', 'love', 'much']",1.0
"['big', 'vanessa', 'go', 'septemb', 'go', 'fast', 'hard', 'cuz', 'im', 'workin', 'much', 'miss', 'alot']",1.0
"['headin', 'home', '...', 'refresh', 'mind', 'soul', 'justa', 'lil', 'bit', '...', 'bac', 'realiti']",1.0
"['good', 'lord', 'seen', 'agenc', 'work', 'upcom', 'open', 'day', 'money', 'jam']",1.0
"['littl', 'foster', 'kitten', 'get', 'big', '...', 'chubba', 'winston', 'go', 'b', 'miss', 'get', 'amaz', 'home']",1.0
"['one', 'week', 'till', 'exam', 'block']",1.0
"['stop', 'talkin', 'food', 'haha', 'fill', 'like', 'sum', 'nw', 'hha', 'how', 'day', 'goin', 'start']",1.0
"['get', 'readi', 'school', 'second', 'math', 'test', 'today', 'also', 'last', 'day', 'rd', 'year', 'next', 'week', 'offici', 'th', 'year']",1.0
"['friday', 'yay', 'bonu', 'drive', 'wale', 'tonight', 'athough', 'miss', 'kitten', 'cuddl', 'go', 'ride']",1.0
"['q', 'studio', 'creat', 'open', 'season', 'googl', 'look', 'dvd', 'downstair', 'feel', 'lazi']",1.0
"['photo', 'martwo', 'omg', 'love', 'accadent', 'delet', 'photo', 'yay', 'he', 'beauti']",1.0
"['thank', 'rt', 'sorri', 'new', 'place', 'domest']",1.0
"['ok', 'shoe', 'club', 'cool', 'fun', 'poppin', 'except', 'ppl', 'tryna', 'danc', 'wit']",1.0
"['lol', 'hi', 'emmi', 'latin', 'would', 'help', 'studi', 'aptitud', 'test', 'get', 'grad', 'school', ';\\', 'that', 'wanna', 'take']",1.0
"['lol', 'yeah', 'yeah', 'big', 'perv', ';)', 'hope', 'see', 'next', 'week', 'scrap', 'plan']",1.0
"['good', 'time', 'rock', 'open', 'mic', 'thank', 'love', 'n', 'support', 'work', 'busi', 'plan', 'present', 'cg', 'nite']",1.0
"['lettuc', 'spinach', 'best', 'cool', 'weather', '..', 'live', 'florida', '..', 'much', 'luck', 'grow', '..']",1.0
"['oh', 'love', 'em', 'think', 'kind', 'preserv', ""they'r"", 'use', 'stay', 'just-bak', 'kinda', 'make', 'sick']",1.0
"['awesom', 'wish', 'could', 'fli', 'see']",1.0
"['nope', 'het', 'lost', 'found', ';-)']",1.0
"['lol', 'true', 'mayb', 'next', 'year', 'looov', 'siggi', 'rememb', 'password', 'mod', 'thing', 'cake']",1.0
"['know', 'enjoy', 'watch', 'two', 'twitter', 'entertain', 'comic', 'miss']",1.0
"['hahaha', 'alright', '..']",1.0
"['someon', 'take', 'la', 'need', 'see', 'lemon', 'tree']",1.0
"['want', 'see', 'friend', ';-)']",1.0
"[""who'"", 'one', 'alway', 'work', 'oh', 'yeah', 'still']",1.0
"['interest', 'show', 'say', 'least', 'recap', 'tomorrow', 'first', 'must', 'sleep', 'work']",1.0
"['bff', 'rock', 'hotel', 'california', 'song', 'done', 'stay', ""what'"", 'next', 'hmmm', '..', 'careless', 'whisper']",1.0
"['love', 'way', 'end', 'time', 'go', 'week', ""i'm"", 'sooo', 'sorri', 'next', 'week', 'sure']",1.0
"['count', 'minut', ""dad'"", 'g-friend', 'leav']",1.0
"['fun', 'miss', 'guy', 'lot']",1.0
"['go', 'die', 'tomorrow', 'night']",1.0
"['big', 'day', 'day', 'xt', 'launch', 'amaz', 'much', 'free', 'stuff', 'thanx', 'edg', 'telecom', 'found', 'phone', 'want', '...', 'cnt', 'afford', 'yet', 'tho']",1.0
"['cycl', 'tho', ""that'"", 'good', 'healthi', 'eat', 'healthi', 'eat', 'contradict', 'term']",1.0
"['hate', 'fleetwood', 'favorit', 'band', '...', ""i'm"", 'jealou', 'ok', 'still', 'love', 'haha']",1.0
"['bt', 'gamer', 'like', 'year', 'made', 'attempt', 'lol', 'yea', 'luvd', 'f', 'extent']",1.0
"['hahaha', 'oh', 'man', 'pleas', 'come', 'pomona', 'would', 'love', 'see', 'everyday', 'instead', 'like', 'year']",1.0
"['dissapoint', 'hhaha']",1.0
"['creep', 'ice', 'cream', 'social', 'good', 'time', 'lar', 'real', 'girl', 'sad', 'movi']",1.0
"['hey', 'love', 'ac', 'see', 'onlin', 'yet', 'cant', 'wait', 'buy', 'look', 'amaz']",1.0
"['wish', 'go', 'love', 'sound']",1.0
"['funni', 'u', 'havent', 'show', 'love', 'yet']",1.0
"['luv', 'ur', 'admit', 'niley', 'kiss', '(:', 'chang', 'mind', 'haha', 'demi', 'sterl', '(:', 'jemi', 'still', 'cute']",1.0
"['play', 'street', 'fighter', 'iv', 'seth', 'rape']",1.0
"['see', '...', 'u', 'comin', 'citi', 'u', 'comin']",1.0
"['flight', 'alreadi', 'book', 'plu', 'ggd', 'st', 'birthday', ""can't"", 'miss', 'especi', 'miss', 'ggd']",1.0
"['bore', 'wanna', 'go', 'taekwando']",1.0
"['watch', 'leno', 'second', 'last', 'time', 'tonight', 'show']",1.0
"[""can't"", 'wait', 'till', 'sunday', 'new', 'episod', 'supernatur', 'episod', 'left']",1.0
"['sweeti', 'sat', 'tabl', 'morn', '...', 'woke', 'sweet', 'oh', '...', 'btw', '...', 'think', ""i'll"", 'home', 'around', 'pm', 'xxx']",1.0
"['maatt', 'havent', 'spoken', 'age', 'dudee', 'dont', 'forget', 'bout', 'ur', 'aussi', 'fan', ';)', 'lool', 'love', 'ya', 'xx']",1.0
"['u', 'miss', 'ur', 'frnd', 'hear', 'manasellaam', 'kulir', 'degre', 'movi', 'amaz', 'nanbargal', 'miss', 'u', 'guy']",1.0
"['must', 'clear', 'dvr', '...', 'get', 'rid', 'tomorrw']",1.0
"['oh', 'economi', 'gotcha', 'sorri', 'happi', 'got', 'anoth', 'one', 'la', 'enjoy', 'socal', 'ahahaay', 'lol']",1.0
"['carli', 'came', 'fell', 'asleep']",1.0
"['tri', 'learn', 'twitter', 'thing', '...', ""i'll"", 'get', 'welcom', 'follow', 'though', 'im', 'interest']",1.0
"['work', 'tri', 'relax', 'min', ""i'v"", 'gotta', 'go', 'back', 'sleep']",1.0
"['friend', 'im', 'deepli', 'sorri', ""i'm"", 'move', 'miss', 'u', 'much']",1.0
"['hell', 'yeah', 'miss', 'u', 'last', 'nite', 'lol', 'u', 'like', 'opinion']",1.0
['suuur'],1.0
"[""can't"", 'heart', 'ach', 'children', 'wanna', 'adopt', 'alexi']",1.0
"['lunch', 'go', 'home', 'rest', '...', 'well', 'today']",1.0
"['one', 'day', 'jay', 'leno', 'que', 'sad']",1.0
"['ah', 'that', 'better', 'snow', 'patrol', 'stuck', 'indoor', 'still', 'weekend', 'come', 'fresh', 'air', 'excel', 'hope', 'sunni']",1.0
"['good', 'morn', 'sexi', 'twitter', ""how'"", 'yall', ""i'm"", 'gd', 'like', 'n', 'still', 'wanna', 'sleep']",1.0
"['earli', 'load', 'sun', 'hurrah']",1.0
"['babe', 'sooo', 'much', 'fun', 'thank', 'much', 'make', 'happen', 'fun', 'ladi', 'time', 'went', 'fast']",1.0
"['wish', 'burn', 'tree', 'tri', 'dress', '...']",1.0
"['spent', 'hour', 'play', 'tf', 'think', ""i'm"", 'better', 'start']",1.0
"['...', 'alriiightt']",1.0
"['wanna', 'love', 'drunk']",1.0
"['littl', 'famili', 'parti', 'tonight', 'hope', 'rock']",1.0
"['ahhh', 'excit', 'juli', '(:', 'ecxept', 'stupid', 'australia', 'get', 'til', 'like', 'decembbberrr', 'stilll', 'ahhh', 'congratss']",1.0
"['fun', 'tonight', ""i'll"", 'leav', '...', 'brandi', 'carlil', 'dalla', 'today', 'sneak', 'show']",1.0
"['want', 'go']",1.0
"['aww', 'tessi', 'wanna', 'hug']",1.0
"['got', 'go', 'get', 'readi', 'go', 'meadowhal', ';)', ""can't"", 'believ', 'internet', 'broke', 'yesterday', 'gut']",1.0
"['watch', 'blood', 'veoh', 'episod', 'love', 'music.wish', 'could', 'watch', 'live', 'action', 'old', 'enough']",1.0
"['unni', 'today', 'take', 'long', 'decid', 'haha', 'wna', 'get', 'tan']",1.0
"['mmmm', 'love', 'curri', 'oregan', 'though']",1.0
"['updatd', 'twitter']",1.0
"['wth', 'happen', 'neck', 'definit', 'stiff', 'neck', ':|']",1.0
"['look', 'old', 'pictur', '...', 'love', 'miss', 'good', 'ol', 'day']",1.0
"['watch', 'pound', 'maaannn']",1.0
"['finish', 'minish', 'cap', 'great', 'game', ""i'll"", 'miss', 'ezlo', 'link']",1.0
"['miss', 'awesom', 'weather', 'movi']",1.0
"['much', 'fun', 'beach', 'today', 'delici', 'dinner', 'hous', 'friggin', 'love', 'mark', 'josh', ""i'm"", 'gonna', 'miss']",1.0
"['got', 'back', 'school', 'shemm', 'summer', 'class', 'offici', 'end']",1.0
"['miss', 'concert', 'tuesday', 'alreadi', ""i'd"", 'realli', 'like', 'time', 'machin', 'go', 'see', '...', 'fun', '...']",1.0
"['two', 'macaroon', 'go', 'bar', '...', 'one', 'say', 'oh', 'nut', 'wow', 'need', 'get']",1.0
"['hahaha', 'yeah', 'see', ""can't"", 'twitter', 'back']",1.0
"['psycholog', 'class']",1.0
"['watch', 'jay', ""leno'"", 'nd', 'last', 'tonight', 'show', 'gone', 'day', 'without', 'leno', 'like', 'four', 'yearss']",1.0
"['thingsmummysaid', 'need', 'learn', 'wash', 'dish', 'laundri', 'alway', 'right']",1.0
"['finish', 'listen', 'last', 'day', ""krypton'"", 'audio', 'book', 'love', '...', 'sad', 'though', '...']",1.0
"['want', 'candi']",1.0
"['wish', 'marvel', 'misadventur', 'flap', 'jack', 'dvd']",1.0
"['waah', 'aberdeen', 'f', 'k', 'miss', 'best', 'gig']",1.0
"['die', 'get', 'hand', 'diagnosi', 'murder', 'dvd', 'boxset', 'peski', 'kid', 'amazon', 'still', 'deliv', 'zimbabw']",1.0
"['ive', 'haha']",1.0
"['biggest', 'headach', 'right', 'wash', 'hair', 'wif', ""mum'"", 'shampoo', 'gross', 'like', 'shampoo', 'way', 'better']",1.0
"['think', 'make', 'turn', 'phone', ""i'll"", 'see']",1.0
"['aww', 'ty', ""s'just"", 'bummer', 'watch', 'convers']",1.0
"['head', 'home', 'yay', 'go', 'buy', 'much', 'need', 'bottl', 'wine', 'drink', 'dinner', 'wallet', 'mia', 'wine', 'tonight']",1.0
"['oooh', 'guy', 'amaz', ""he'"", 'cute', 'sent', 'photo', '...', ""can't"", 'show']",1.0
"['discov', 'shortcom', 'graviti', 'use', 'twitpic', 'integr', 'subtract', 'pic', 'url', 'charact', 'limit']",1.0
"['aw', 'sky', 'weep']",1.0
"['gonna', 'ask', 'want', 'go', 'club', 'hidden', 'hous', 'sat', 'night', 'hehe']",1.0
"['daddi', 'live', 'manchest', 'love', ':-d', 'hull', 'bitch', 'mate', 'wanna', 'go']",1.0
"['someth', 'wrong', ""i'm"", 'tire', 'bare', 'keep', 'eye', 'open', 'yet', ""i'v"", 'done', 'last', 'hr', 'toss', 'turn', 'bed']",1.0
"['realli', 'want', 'watch', 'mari', 'poppin', 'sing', 'along']",1.0
"['fake', 'hahaha', '...', 'kid']",1.0
"['mind', 'sam', 'like', 'kate', 'like', 'chri', ""he'"", 'smarmi']",1.0
"['aw', 'nick', 'got', 'heart', 'broken', 'poor', 'babi', 'love']",1.0
"['th', 'grade', 'spell', 'bee', 'went', 'trail', 'flame', 'st', 'word', 'counti', 'spell', 'bee']",1.0
"['shatter', 'pwg', 'botch', 'hybrid', 'dolphin', 'shirt', 'order', 'sent', 'xl']",1.0
"['believ', 'tomorrow', 'night', 'jay', ""leno'"", 'last', 'episod', 'tonight', 'show', 'encourag', 'everyon', 'watch', 'welcom', 'conan']",1.0
"[""aww-that'"", 'last', 'one', 'roo-oop']",1.0
"['actual', ""i'd"", 'prefer', 'rum', 'gin', ""i'v"", 'prefer', 'much', 'previous']",1.0
"['bought', 'new', 'combo', 'printer', 'costco', 'today', 'officejet', 'j', 'caus', 'cheaper', 'ink', 'old', 'one', 'window', 'like', 'fax', 'part']",1.0
"['wake', 'earli', 'goddam', 'last', 'day', 'bummer']",1.0
"['think', 'come', 'tomarrow', '...', 'realli', 'realli', 'realli', 'look', 'foreword', 'see', '...', 'pleas', 'come']",1.0
"['sad', 'glad']",1.0
"['said', '...', ""she'll"", 'b', 'home', 'min', 'tweet', 'u', 'lol']",1.0
"['ju', 'got', 'hom', 'fr', 'tda', 'funer', '...', ""i'm"", 'sad', 'cri', 'much', 'time', 'much', 'love', 'grandpa', 'never', 'got', 'say', 'last', 'goodby']",1.0
"['goodmorn', 'yall', 'woke', 'earli']",1.0
"['done', 'drew', 'jayk', 'handmad', 'gift', 'watch', 'old', 'menudo', 'vid']",1.0
"['realli', 'want', 'blackberri', 'sidekick', 'hella', 'wack', 'night']",1.0
"['googl', 'wave', 'look', 'cool', 'work', 'guy', 'came', 'idea', 'year', 'ago']",1.0
"['kewl', 'jb', 'chat', 'awesom', 'miss', 'lot', 'though', 'caus', 'go', 'skewl']",1.0
"['listen', 'nice', 'music', '..', 'think', 'go', 'bed', 'get', 'nice', 'rest', ""i'll"", 'miss', 'russel', ""brand'"", 'ponderland']",1.0
"['red', 'font', 'top', 'nice', 'put', 'old', 'entri']",1.0
"['expecto', 'patronum', 'noth', 'happen', '..']",1.0
"['bout', 'lay', 'iit', 'got', 'head', 'ach', 'hangin', 'tomorrow', 'idont', 'care', 'wat', 'u', 'say', 'lol', '..', 'sooo', 'dm', 'ur', 'imma', 'hit', 'u', 'tomorrow', 'k', ';)']",1.0
['miss'],1.0
"['yeah', 'okay', 'breath', 'like', 'second', 'thought', 'gonna', 'die', 'hahaha']",1.0
"['useless', 'tweet', 'lol', 'jk', 'yay', 'come', 'tmr', 'long', 'u', 'gnna', 'phil']",1.0
"['soo', 'happi', 'frustrat', 'time', ':]', 'ohh', 'noo', 'britney', 'record', 'new', 'video', 'radar', 'sooo', 'exxciite']",1.0
"['booya', 'sup', 'tweep', 'happi', 'infam', 'day', 'get', 'soon', ""can't"", 'wait', 'play', 'need', 'find', 'time', 'though']",1.0
"[""i'm"", 'wit', 'cha', 'got', 'home', 'da', 'regga', 'club', 'wishin', 'sexin', 'somebodi']",1.0
"['remind', 'need', 'pick', 'mask', 'mrw', 'thank', 'prefer', 'take', 'med', 'b', 'addict']",1.0
"['note', 'feel', 'miss']",1.0
"['dread', 'go', 'work', '...', 'friiiday', 'whoop']",1.0
"['want', 'somebodi', 'love', 'love', 'think', 'day-dream', 'constantli']",1.0
"['walk', 'work', 'glorious', 'sunni', 'day', 'go', 'good', 'weekend', 'burn', 'alway', 'even', 'suncream', 'fb']",1.0
"['wanna', 'go', 'dbsk', ""oppa'"", 'mirot', 'concert', 'thailand', 'realli', 'wanna', 'go', 'muchhh', '...', 'burst', 'tear']",1.0
"['yeah', 'like', 'oh', 'oh', 'oh', 'yeah', ""that'"", 'said', 'lol', 'bummer']",1.0
"['wish', 'could', 'find', 'camera', 'caus', 'realli', 'wanna', 'record', '...']",1.0
"['might', 'interest', 'thank', 'came', 'saw', 'winc', '..', 'much', 'like', 'flatland']",1.0
"['work', 'tonight', 'work', 'cheesecak', 'ate', 'today', 'pple', 'diet', '..', 'quit', 'worth']",1.0
"['haha', 'father', 'daugter', 'bond', 'time', 'lol', 'anyway', 'gg', 'work', 'get', 'msn', 'later', ""i'll"", 'bore', 'x']",1.0
"['love', 'music', 'much', ""i'v"", 'gone', 'pain', 'play', 'side', 'finger', 'peel', 'blister', 'play', 'much']",1.0
"['talk', 'buttershot', 'want', 'mayb', ""i'll"", 'small', 'bit', 'ice', 'sinc', 'fair']",1.0
"['want', 'zune', 'looov', 'pod', 'hahah']",1.0
"['stand', 'open', 'hand', 'know', ""can't"", 'alon', 'hold', 'hold', 'babi', 'hold', '...', 'geeez']",1.0
"['consol', 'got', 'bmi', 'test', 'hahaha', 'say', 'obes', 'well', 'much', 'unhappi', 'minut']",1.0
"['lol', 'know', 'get', 'read', 'sometim', 'though', 'co', 'dad', 'alway', 'chuck', 'get', 'home']",1.0
"['hope', 'great', 'friend', 'california', 'miss']",1.0
"['haha', 'wish', 'could']",1.0
"['warwick', 'castl']",1.0
"['wanna', 'drink', 'pub']",1.0
"['earli', 'morn', 'first', 'portmeirion', 'home']",1.0
"['somebodi', 'actual', 'told', 'lol']",1.0
"['good', 'morn', 'peopl', 'good', 'old', 'germani', 'sooo', 'cold']",1.0
"['like', 'n', 'tha', 'dj', 'comp', 'hella', 'wack', '...', 'gud', 'dj', 'got', 'free', 'gud']",1.0
"['fed', 'three', 'hungri', 'stray', 'kitti', 'three', 'can', 'tuna', 'hope', 'stay', 'warm', 'safe', 'tonight']",1.0
"['final', 'gotten', 'onlin', 'log', 'km', 'last', 'two', 'day', 'errand', 'famili', 'driver']",1.0
"['im', 'gonna', 'go', 'bed', 'alon', 'sad', 'day', 'itll', 'get', 'better']",1.0
"['get', 'readi', 'work', 'sun', 'shine', 'plu', 'w', 'e', 'bgt', 'tonight', '...', 'gonna', 'finish']",1.0
"['cape', 'town', 'spit', 'morn', 'im', 'behind', 'desk', 'sun', 'come', '...', 'perfect', 'time']",1.0
"['ahh', 'feel', 'good', 'play', 'guitar', 'hero', 'month', 'suck', 'haha']",1.0
"['wish', 'would', 'call', '...', 'hc']",1.0
"['love', '::', 'hug', ""i'm"", 'see', 'anyth', '...', 'wonder', ""i'm"", 'someth', 'wrong']",1.0
"['fantast', 'idea', '..', 'man', ""i'll"", 'end', 'lone', 'tourist', 'goe', 'home']",1.0
"['still', 'track', 'move', 'back', 'albeit', 'year', 'howev', 'buddi', 'jen', 'move', ""we'r"", 'fast', 'track']",1.0
"['ok', 'shed', 'tear', 'watch', 'preview', 'next', 'week', 'medium', ""i'm"", 'scare', ""i'm"", 'addict', 'show', 'love']",1.0
"['life', 'beauti', 'morn', 'think', 'better', 'way', 'ruin', 'work']",1.0
"['oopsi', 'origami', 'box', 'made', 'look', 'like', 'strawberri', 'allow', 'teach']",1.0
"['wish', 'nicki', 'home']",1.0
"['realli', 'want', 'marri', 'leighton', 'meester', 'damn', 'take', 'eye']",1.0
"['hmm', '..', 'osaka', 'last', 'show', 'today.veri', 'sad', 'decod', 'ur', 'msg', ';)', 'haha', 'cant', 'wait', 'till', 'u', 'get', 'sydney', ';d', 'miss', 'ticket', 'tho', 'xx']",1.0
"['marrri', 'fun', 'parti', 'tonight', 'drink', 'wud', 'come', 'see']",1.0
"['awww', 'thank', 'follwin', 'thou', 'lol']",1.0
"['use', 'brother', 'g', 'phone', '..', 'love', 'drive', 'vega', '...', 'phone', 'die', 'morn', 'charger', 'broke']",1.0
"['huhuhu', 'still', 'work', 'get', 'new', 'client', 'motion', 'graphic']",1.0
"['constantli', 'listen', 'song', 'fli', '...', 'b', 'c', 'cutest', 'song', '...', 'peter', 'pan', 'wendi', 'turn', 'fine']",1.0
"['slept', 'day', '..', 'lol', 'time', 'start', 'un', 'articl', '..', 'fun', '(:', '...']",1.0
"['lol', 'yeah', 'haha', 'yeah', 'thing', 'okay', 'pretti', 'much', 'slowli', 'sort', 'everyth', 'lol', 'exam', 'come', 'd:', 'haha']",1.0
"['hey', 'chocol', 'chip', 'good', 'want', 'snack', ""i'm"", 'snack']",1.0
"['googledoc', 'folder', 'instead', 'label', 'like', 'gmail', 'kind', 'like', 'label']",1.0
"['yeah', 'good', '..', 'erm', '...', 'entertain']",1.0
"['make', 'jealou', 'want', 'one', 'long', 'u', 'guy', 'marri']",1.0
[],1.0
"['would', 'total', 'take', 'prom', '...', 'hadnt', 'alreadi', 'gone', 'sorri', 'lol']",1.0
"['come', 'hang', 'wif', 'meee']",1.0
"['hmmm', 'think', 'take', 'back', 'feel', 'better', 'morn', 'think', 'spoke', 'earli']",1.0
"['nuhhh', 'info', 'ticketek', 'yet', 'heap', 'excit', 'though', 'dont', 'care', 'much', 'hope', 'much', '..']",1.0
"['im', 'final', 'go', 'home', 'didnt', 'get', 'finish', 'work', 'ill', 'back', 'tomorrow']",1.0
"['know', 'wish', 'would', 'wanna', 'cuddl', 'sleeep', 'ga', 'go', 'world', 'coke']",1.0
"['happi', 'belat', 'birthday', 'billi', 'forgot', 'say', 'bday', 'feel', 'awe']",1.0
"['haha', 'yeah', 'know', 'yeah', 'thing', 'okay', 'pretti', 'much', ""i'm"", 'slowli', 'sort', 'thing', '..', 'exam', 'come', 'd:', 'haha']",1.0
"['want', 'get', 'hand', 'dirti', 'fubumvc']",1.0
"['nooo', 'hey', 'back', 'next', 'week', 'move', 'back', 'good']",1.0
"[""can't"", 'tell', 'thrill', 'noseble', 'first', 'time', 'age', 'overjoy', 'cover', 'urgh']",1.0
"['guy', 'call', 'come', 'someth', 'def', 'give', 'us', 'call', 'tomorrow', 'hang', 'us', 'chick']",1.0
"['yeah', 'also', 'paper', '..', 'one', 'final', 'left', 'algebra', '..', 'take', 'birthday', 'june']",1.0
"[""can't"", 'stay', 'home', 'mom', 'alreadi']",1.0
"['sux', 'took', 'like', 'minut', 'go', 'sleep', 'final']",1.0
"['saw', 'hamlet', 'updat', 'excel', 'news', '...', 'never', 'good', 'live', 'though']",1.0
"[""can't"", 'work', 'twitter', 'phone', ""we'r"", 'bed', 'think', 'funni', 'stuff', 'last', 'night', 'l', 'good', 'time']",1.0
"['yay', 'thank', '..', 'feel', 'like', 'ur', 'yell', 'us', 'lol']",1.0
"['love', 'johnni', 'carson', ""i'm"", 'go', 'hate', 'see', 'jay', 'leno', 'go', 'via', ""that'"", 'wait', 'someon', 'say']",1.0
"['visit', 'si', 'fr', 'joemar', 'dito', 'bataan', 'frm', 'camiguin', 'sum', 'ofcmat', 'suppos', 'meet', 'saturday', ""can't"", 'luwa']",1.0
"['lucki', 'rob', '...', 'alway', 'gettin', ""t'"", 'emalon']",1.0
"['day', 'summervac', 'school', 'come', 'along', 'end', 'annual', 'problem', 'r', 'gener', 'find', 'good', 'way', 'spend']",1.0
['foggi'],1.0
"['haha', 'nice', 'fun', 'doll', 'hope', ""i'll"", 'see', 'ya', 'soon', 'miss', 'ur', 'face']",1.0
"['well', ""i'm"", 'go', 'tri', 'sleep', 'work', 'tomorrow', 'weekend', 'start']",1.0
"['yummi', 'chocol', 'cake', '..', 'wish', 'even', 'got', 'one', ""b'day"", 'anybodi', 'listen']",1.0
"['go', 'back', 'manila', 'even', 'trip', 'cebu', 'bitin']",1.0
"['...', 'post', 'first', 'video', '...', 'contest', 'entri', 'still', 'terribl', 'boo', '...', 'luv', 'ur', 'video', 'btw', 'xxxrebelrebelxxx']",1.0
"['cool', 'dude', 'yeah', 'hope', 'rate', 'still', '..', 'lol', 'yeah', 'sure', 'ill', 'mar', 'par', 'birthday', 'dinner']",1.0
"['got', 'cabl', 'set', 'win', 'got', 'lock', 'put', 'door', 'win', 'feel', 'tad', 'neglect', '...', 'fail']",1.0
"['ill', 'alright', 'whip', 'may']",1.0
"['feel', 'like', 'red', 'lea']",1.0
"['morn', 'twitti', 'head', 'colleg', 'back', 'doc', 'god', ""i'm"", 'hungri', 'strech', 'ear', 'today', 'mm', ';)', 'payday', 'love']",1.0
"['five', ""o'clock"", ""can't"", 'come', 'faster']",1.0
