content,target
(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,1.0
Needs a job BADLY!!!,0.0
@AlexanderGWhite daaammmnnnnn I do wish I was there.,0.0
Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,0.0
@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,0.0
@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,0.0
is a bad friend,0.0
@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,0.0
@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,0.0
@aiderushton ill be over in an oir,0.0
@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,0.0
would wish the severe migrains would stop!!! doc's prescriptions arent working,0.0
@bobbyedner i missed the game,1.0
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",0.0
@tiffalo cuz airlines are super lame.,0.0
@lenje - Still a pity it comes with no lamb though,0.0
@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,0.0
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",1.0
I'm so very tired...and have insomnia.,0.0
@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,0.0
@yelgiuQnayR airport? and you didnt show up tonight homo!,0.0
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",0.0
@MrRathbone what about me,0.0
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",0.0
people in my house do not know how to close doors,0.0
Why am I completing facebook quizzes at this time of the morning... especially a friday morning,0.0
out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,0.0
@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,0.0
Had to cancel wow for now,0.0
wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,0.0
@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,0.0
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",0.0
@__sugar oh no  i am always here ;) &lt;3,0.0
back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,0.0
@ poll : was trying to get it to work in a powerpoint to no avail.,0.0
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",1.0
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",1.0
"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",0.0
Up late with nothin 2 do.....,0.0
i think the vog is making me sicker than i think. feeling slightly achy,0.0
"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",0.0
i am doing homework it sux big time maths is the worst!!!!!!,0.0
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",0.0
#3wordsaftersex it never started...,0.0
sometimes i wish things could go back to the way they were the beginning of last summer,0.0
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",0.0
@tarng Trudy's off Burnet...the one up north that no one goes to,0.0
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",0.0
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",1.0
i'm sooooooooooooo confused,0.0
"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",0.0
"Work day 7 of 7,",0.0
Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,1.0
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",0.0
"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",0.0
@mysticnz no im not  cries LOL,0.0
Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,0.0
"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",0.0
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,0.0
Come on Knight... It's been well over 4 hours,0.0
not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,0.0
@FoxxFiles aw u can't let me in on the secret!,0.0
"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",0.0
"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",0.0
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",0.0
Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,0.0
twittascope is NOT rocking my socks - go away already!!,0.0
Driving Back home because I forgot the piece of cake for @v_era,0.0
@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,0.0
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",0.0
It's pissing me off and not letting me follow ericka,0.0
Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,0.0
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,0.0
@koifusionpdx i was so close to the tacos...one spot too late,0.0
@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,0.0
is thinking so much and i'm at work,0.0
I have forgot the live with the Jonas Brothers on Facebook,0.0
I haven't seen Muffin in two whole days!,0.0
@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,0.0
my gap year is going so quick,0.0
"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",0.0
@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,0.0
my twitter has been hacked again,0.0
Just found mj mouse flats at DJs. Of course there are none left in my size,0.0
@passingcarss i wont have time to buy  and i need a new binder pa,0.0
@lanacaitlin  hahaha well its try its so ugly,0.0
25-man Ulduar is hard...,0.0
"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",0.0
@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,1.0
night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],0.0
@princess_oats this is happening to me too,0.0
@qi_tah oh no.  *hugs*,0.0
"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",0.0
@xoshayzers i knoww  things won't be the samee &lt;/3,0.0
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",0.0
@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,1.0
"Okay, so twitter suddenly changed, how do I respond to messages now",0.0
ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,0.0
Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,0.0
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,0.0
@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,0.0
I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,0.0
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,0.0
I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,0.0
think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,0.0
"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",0.0
@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,0.0
@sillybabyjulie me too,0.0
@digenis that story reminds of living in Portugal,0.0
"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",0.0
I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,1.0
my roommate @tess_tickle loves to ignore me,0.0
@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,0.0
@MyDailyRoutine yeahhh. &amp;dont judge my pillow,0.0
"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",1.0
my teeth and head hurts,0.0
I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,0.0
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",0.0
Waiting in line @ tryst,0.0
Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,0.0
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,0.0
I need to be held...  Gnite.,0.0
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",0.0
no more arrested development. i am sad.,0.0
"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",0.0
omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,0.0
I feel so deflated. No more doggy.,0.0
@blood_rain i wanna see her hair  hows everyone?,0.0
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",0.0
im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,0.0
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,0.0
Aww...  Pray for the arroyo family everyone!,0.0
@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,0.0
Fuuudge. Movie store is closed,0.0
ALO is so sad and quiet and empty tonight,0.0
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",0.0
@wuzzyangel You never answered your DM I sent you....   I need your info...,0.0
Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,0.0
@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,0.0
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,0.0
@jose3030 I didn't think anyone caught that,0.0
I need to be sleeping.. But i'm not even tired..,0.0
0,0.0
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,0.0
"lyin in bed, up faaaaar too early",0.0
Sad that Christian Lacroix had to file bankruptcy,0.0
I dont feel good AT ALL. fuckkk,0.0
why did i agree to work a double shift,0.0
looks like i'll never go to the zoo,0.0
@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,0.0
When will Medhurst play again?,0.0
@Moss1982 bad times?,0.0
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,0.0
Have to go to the dreaded DMV tomorrow,0.0
@duncm I'm a bit Ben's Thai-ed out,0.0
english class! working on interactive orals,1.0
@SharonHayes Thank you for the rec but that doesn't work,0.0
@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,0.0
My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,0.0
I don't know how ima work out tomorrow wit my body dis sore  ugh,0.0
in 7-11  w/o you,0.0
"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",0.0
I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,0.0
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,0.0
I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,0.0
"Lady across the way had a miscarriage, say a prayer",0.0
God I just want to sleep.,0.0
@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,0.0
I feel so deflated. No more doggy.,0.0
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,0.0
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",0.0
is feeling bad  just got bad news about my Mum,0.0
@RealBlackWidow But but I dun wanna,0.0
@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,0.0
"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",0.0
@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,0.0
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",0.0
don't feel like working  I think I tweet this too often!,0.0
feels sick to my stomach and idkk whyy,0.0
vineri...nimic special sau probabil un alt weekend pierdut...,0.0
Counting the hours of lost sunshine until the Weekend,0.0
@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,0.0
is home.  safely... but hungry,1.0
"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",0.0
"got to final table, but....went out third.  Don't think I'll be getting my free seat",0.0
good morning work this morning gutted lol nevermind,0.0
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,0.0
FB is boring   and i wanna sing RIGHT NOW..! *-*,1.0
@judyrey  The link doesn't work,0.0
@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,0.0
The humpalow um ya I think so... Cell is dying,0.0
Last day at work...Sick to the bone,0.0
i feel like I'm on house arrest.,0.0
"love is like a war,,easy to begin, hard to end..fiuuhh...",0.0
@heavenjones ur supposed to be in BK tho,0.0
@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,0.0
Oh no!  Nighty night.,0.0
@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,1.0
my stupid tooooth hurts,0.0
@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,1.0
Ready To Go @ School,0.0
@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,0.0
@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,0.0
It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,0.0
